"ccdd","tm_code","tm_formal_name","n_dins","n_ntps","tm_status","tm_status_effective_time"
TRUE,8000782,"meperidine",9,2,"active",1944-12-31
TRUE,8000001,"levothyroxine",18,2,"active",1951-12-30
TRUE,8000003,"epinephrine",14,3,"active",1951-12-31
TRUE,8000004,"phenytoin sodium",7,2,"active",1951-12-31
TRUE,8000005,"phenytoin (base)",4,2,"active",1952-12-31
TRUE,8000006,"testosterone",16,6,"active",1953-12-31
TRUE,8000008,"hydrocortisone",16,7,"active",1954-12-31
TRUE,8000009,"hydroxyzine",13,3,"active",1956-12-31
TRUE,8000010,"methylphenidate",44,3,"active",1956-12-31
TRUE,8000778,"hydrocodone and phenyltoloxamine",2,2,"active",1957-12-31
TRUE,8000012,"hydroxychloroquine",5,1,"active",1957-12-31
TRUE,8000013,"warfarin",24,1,"active",1957-12-31
TRUE,8000788,"belladonna and ergotamine and phenobarbital",1,1,"active",1959-01-01
TRUE,8000014,"prednisone",10,1,"active",1959-12-31
TRUE,8000015,"spironolactone",4,1,"active",1959-12-31
TRUE,8000018,"medroxyprogesterone",15,2,"active",1960-12-31
TRUE,8000020,"norethindrone",4,1,"active",1961-12-31
TRUE,8000021,"conjugated estrogens",18,4,"active",1963-12-31
TRUE,8000023,"acetaminophen and caffeine and codeine",22,1,"active",1964-12-31
TRUE,8000024,"amitriptyline",38,1,"active",1965-12-31
TRUE,8000794,"betamethasone acetate and betamethasone (base)",2,1,"active",1965-12-31
TRUE,8000026,"nortriptyline",8,1,"active",1965-12-31
TRUE,8000027,"azathioprine",7,2,"active",1966-12-31
TRUE,8000028,"dexamethasone (base)",19,7,"active",1966-12-31
TRUE,8000029,"quinine sulfate",11,2,"active",1966-12-31
TRUE,8000030,"triamcinolone acetonide",16,5,"active",1966-12-31
TRUE,8000786,"pentazocine",3,2,"active",1967-12-31
TRUE,8000031,"hydrochlorothiazide",20,1,"active",1968-12-31
TRUE,8000032,"carbamazepine",28,4,"active",1969-12-31
TRUE,8000036,"clindamycin",27,6,"active",1970-12-31
TRUE,8000037,"erythromycin",14,5,"active",1970-12-31
TRUE,8000038,"metronidazole",14,7,"active",1970-12-31
TRUE,8000040,"cephalexin",21,3,"active",1971-12-31
TRUE,8000041,"lithium carbonate",11,2,"active",1971-12-31
TRUE,8000043,"ibuprofen",65,6,"active",1972-12-31
TRUE,8000044,"nitroglycerin",27,5,"active",1972-12-31
TRUE,8000045,"oxycodone",38,3,"active",1973-12-31
TRUE,8000046,"allopurinol",16,1,"active",1974-12-31
TRUE,8000047,"colchicine",4,1,"active",1974-12-31
TRUE,8000048,"diazepam",18,4,"active",1974-12-31
TRUE,8000049,"ethinyl estradiol and norethindrone",19,1,"active",1974-12-31
TRUE,8000050,"nitrofurantoin",5,2,"active",1974-12-31
TRUE,8000051,"prednisolone",10,2,"active",1974-12-31
TRUE,8000791,"betamethasone dipropionate",20,3,"active",1975-12-31
TRUE,8000054,"carbidopa and levodopa",21,3,"active",1975-12-31
TRUE,8000055,"folic acid",7,2,"active",1975-12-31
TRUE,8000057,"furosemide",25,3,"active",1976-12-31
TRUE,8000059,"acetaminophen and oxycodone",10,1,"active",1977-12-31
TRUE,8000061,"clonazepam",38,1,"active",1977-12-31
TRUE,8000063,"metoprolol",48,3,"active",1977-12-31
TRUE,8000064,"penicillin v",4,2,"active",1977-12-31
TRUE,8000065,"acetaminophen and codeine",10,2,"active",1978-12-31
TRUE,8000066,"baclofen",26,2,"active",1978-12-31
TRUE,8000067,"benztropine",5,3,"active",1978-12-31
TRUE,8000069,"codeine",15,5,"active",1978-12-31
TRUE,8000071,"morphine",76,8,"active",1978-12-31
TRUE,8000072,"valproic acid (valproate)",5,2,"active",1978-12-31
TRUE,8000073,"amoxicillin",43,4,"active",1979-12-31
TRUE,8000792,"betamethasone valerate",19,5,"active",1979-12-31
TRUE,8000075,"calcitriol",8,3,"active",1979-12-31
TRUE,8000078,"nystatin",11,4,"active",1979-12-31
TRUE,8000079,"oxazepam",18,1,"active",1979-12-31
TRUE,8000080,"sulfamethoxazole and trimethoprim",9,3,"active",1979-12-31
TRUE,8000081,"timolol",21,3,"active",1979-12-31
TRUE,8000082,"diclofenac",53,8,"active",1980-12-31
TRUE,8000084,"haloperidol",22,3,"active",1980-12-31
TRUE,8000085,"indomethacin",9,2,"active",1980-12-31
TRUE,8000086,"propranolol",19,4,"active",1980-12-31
TRUE,8000087,"temazepam",10,1,"active",1980-12-31
TRUE,8000088,"alprazolam",31,1,"active",1981-12-31
TRUE,8000090,"bromazepam",9,1,"active",1981-12-31
TRUE,8000091,"flurazepam",9,1,"active",1981-12-31
TRUE,8000092,"hydrochlorothiazide and triamterene",3,1,"active",1981-12-31
TRUE,8000095,"acyclovir",19,6,"active",1982-12-31
TRUE,8000097,"indapamide",21,1,"active",1982-12-31
TRUE,8000218,"naproxen",54,6,"active",1982-12-31
TRUE,8000779,"alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate",2,1,"active",1983-12-31
TRUE,8000774,"acetylsalicylic acid and oxycodone",1,1,"active",1984-12-31
TRUE,8000104,"fusidic acid",4,3,"active",1984-12-31
TRUE,8000106,"hydromorphone",41,7,"active",1984-12-31
TRUE,8000107,"procyclidine",3,2,"active",1984-12-31
TRUE,8000108,"valproic acid (divalproex)",24,1,"active",1984-12-31
TRUE,8000109,"lorazepam",33,3,"active",1985-12-31
TRUE,8000110,"acebutolol",20,1,"active",1986-12-31
TRUE,8000114,"dexamethasone phosphate",9,2,"active",1986-12-31
TRUE,8000115,"glyburide",17,1,"active",1986-12-31
TRUE,8000117,"doxycycline",14,4,"active",1987-12-31
TRUE,8000118,"enalapril",49,1,"active",1987-12-31
TRUE,8000119,"ethinyl estradiol and levonorgestrel",21,1,"active",1987-12-31
TRUE,8000120,"ranitidine",42,3,"active",1987-12-31
TRUE,8000121,"atenolol",44,1,"active",1988-12-31
TRUE,8000773,"clotrimazole",17,4,"active",1988-12-31
TRUE,8000122,"diltiazem",80,5,"active",1988-12-31
TRUE,8000123,"nifedipine",18,2,"active",1988-12-31
TRUE,8000124,"verapamil",28,4,"active",1988-12-31
TRUE,8000159,"ciprofloxacin",84,6,"active",1989-12-31
TRUE,8000127,"fentanyl",60,4,"active",1989-12-31
TRUE,8000128,"fluoxetine",50,2,"active",1989-12-31
TRUE,8000130,"metoclopramide",7,3,"active",1989-12-31
TRUE,8000131,"omeprazole",36,2,"active",1989-12-31
TRUE,8000132,"salbutamol",32,7,"active",1989-12-31
TRUE,8000134,"budesonide",12,6,"active",1990-12-31
TRUE,8000135,"clonidine",10,1,"active",1990-12-31
TRUE,8000139,"gliclazide",18,2,"active",1990-12-31
TRUE,8000140,"lisinopril",48,1,"active",1990-12-31
TRUE,8000141,"pravastatin",44,1,"active",1990-12-31
TRUE,8000142,"simvastatin",102,1,"active",1990-12-31
TRUE,8000143,"zopiclone",40,1,"active",1990-12-31
TRUE,8000785,"belladonna and opium",1,1,"active",1991-12-31
TRUE,8000147,"clozapine",10,1,"active",1991-12-31
TRUE,8000148,"mometasone",15,5,"active",1991-12-31
TRUE,8000153,"amlodipine",62,1,"active",1992-12-31
TRUE,8000154,"amoxicillin and clavulanic acid",18,2,"active",1992-12-31
TRUE,8000160,"clarithromycin",29,3,"active",1992-12-31
TRUE,8000161,"clobetasol",22,6,"active",1992-12-31
TRUE,8000162,"dextroamphetamine",4,2,"active",1992-12-31
TRUE,8000163,"doxazosin",18,1,"active",1992-12-31
TRUE,8000164,"ethinyl estradiol and norgestimate",8,1,"active",1992-12-31
TRUE,8000165,"felodipine",8,1,"active",1992-12-31
TRUE,8000166,"finasteride",24,1,"active",1992-12-31
TRUE,8000777,"hydrocodone",3,2,"active",1992-12-31
TRUE,8000168,"insulin isophane human",4,1,"active",1992-12-31
TRUE,8000169,"ketorolac",12,3,"active",1992-12-31
TRUE,8000170,"quinapril",20,1,"active",1992-12-31
TRUE,8000171,"sertraline",62,1,"active",1992-12-31
TRUE,8000172,"vitamin D3 (cholecalciferol)",14,2,"active",1992-12-31
TRUE,8000173,"fluticasone",13,3,"active",1993-03-12
TRUE,8000179,"desogestrel and ethinyl estradiol",12,1,"active",1993-12-31
TRUE,8000180,"diclofenac and misoprostol",6,1,"active",1993-12-31
TRUE,8000181,"domperidone",13,1,"active",1993-12-31
TRUE,8000183,"mesalazine",14,5,"active",1993-12-31
TRUE,8000184,"metformin",46,2,"active",1993-12-31
TRUE,8000185,"paroxetine",60,2,"active",1993-12-31
TRUE,8000187,"risperidone",113,4,"active",1993-12-31
TRUE,8000188,"terbinafine",15,3,"active",1993-12-31
TRUE,8000189,"trazodone",24,2,"active",1993-12-31
TRUE,8000196,"cyclobenzaprine",12,1,"active",1994-12-31
TRUE,8000198,"digoxin",9,3,"active",1994-12-31
TRUE,8000200,"gabapentin",90,2,"active",1994-12-31
TRUE,8000201,"hydrochlorothiazide and lisinopril",18,1,"active",1994-12-31
TRUE,8000781,"hydrocodone and phenylephrine",2,1,"active",1994-12-31
TRUE,8000202,"ipratropium",18,4,"active",1994-12-31
TRUE,8000203,"isosorbide mononitrate",5,1,"active",1994-12-31
TRUE,8000204,"lithium (ion)",1,1,"active",1994-12-31
TRUE,8000205,"minocycline",20,2,"active",1994-12-31
TRUE,8000206,"perindopril",3,1,"active",1994-12-31
TRUE,8000208,"beclomethasone",6,3,"active",1995-12-31
TRUE,8000210,"cefprozil",18,2,"active",1995-12-31
TRUE,8000213,"estradiol",26,5,"active",1995-12-31
TRUE,8000214,"lamotrigine",29,1,"active",1995-12-31
TRUE,8000215,"lansoprazole",26,2,"active",1995-12-31
TRUE,8000216,"losartan",54,1,"active",1995-12-31
TRUE,8000217,"methotrexate",24,2,"active",1995-12-31
TRUE,8000219,"oxybutynin",16,4,"active",1995-12-31
TRUE,8000220,"progesterone",5,4,"active",1995-12-31
