"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status","ntp_status_effective_time","ntp_type","ntp_code"
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet",TRUE,2,FALSE,"active",1974-12-31,NA,9006536
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet",TRUE,2,FALSE,"active",1974-12-31,NA,9006537
"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active",1975-12-31,NA,9006538
"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active",1976-12-31,NA,9006539
"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet",TRUE,3,FALSE,"active",1980-12-31,NA,9006540
"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet",TRUE,3,FALSE,"active",1980-12-31,NA,9006541
"trimethoprim 80 mg per 5 mL and sulfamethoxazole 400 mg per 5 mL solution for injection ampoule",TRUE,1,FALSE,"active",1982-12-31,NA,9006542
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet",TRUE,1,TRUE,"active",1983-12-31,"comb",9006543
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active",1983-12-31,"comb",9006544
"ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and norgestimate 750 mcg oral tablet with ethinyl estradiol 30 mcg and norgestimate 125 mcg oral tablet",TRUE,1,TRUE,"active",1987-12-31,"comb",9006545
"ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and norgestimate 750 mcg oral tablet with ethinyl estradiol 30 mcg and norgestimate 125 mcg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active",1987-12-31,"comb",9006546
"dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial",TRUE,1,FALSE,"active",1990-12-31,NA,9006547
"ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet",TRUE,1,FALSE,"active",1992-12-31,NA,9006548
"ethinyl estradiol 35 mcg and norgestimate 250 mcg with lactose oral tablet",TRUE,1,FALSE,"active",1992-12-31,NA,9006549
"desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral table",TRUE,5,FALSE,"active",1993-12-31,NA,9006550
"desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet",TRUE,5,FALSE,"active",1993-12-31,NA,9006551
"ethinyl estradiol 35 mcg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet",TRUE,1,TRUE,"active",1993-12-31,"comb",9006552
"ethinyl estradiol 35 mcg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active",1993-12-31,"comb",9006553
"ethinyl estradiol 35 mcg and norethindrone 1mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet",TRUE,1,FALSE,"active",1996-08-14,"comb",9006554
"ethinyl estradiol 35 mcg and norethindrone 1mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active",1996-08-14,"comb",9006555
"metoclopramide hydrochloride 5 mg per 5 mL oral solution",TRUE,1,FALSE,"active",1997-02-25,NA,9006556
"ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet",TRUE,4,FALSE,"active",1998-01-07,NA,9006557
