"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status","ntp_status_effective_time","ntp_type","ntp_code"
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet",TRUE,2,FALSE,"active","19741231",NA,9006536
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet",TRUE,2,FALSE,"active","19741231",NA,9006537
"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active","19751231",NA,9006538
"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active","19761231",NA,9006539
"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet",TRUE,3,FALSE,"active","19801231",NA,9006540
"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet",TRUE,3,FALSE,"active","19801231",NA,9006541
"trimethoprim 80 mg per 5 mL and sulfamethoxazole 400 mg per 5 mL solution for injection ampoule",TRUE,1,FALSE,"active","19821231",NA,9006542
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet",TRUE,1,TRUE,"active","19831231","comb",9006543
"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active","19831231","comb",9006544
"ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and norgestimate 750 mcg oral tablet with ethinyl estradiol 30 mcg and norgestimate 125 mcg oral tablet",TRUE,1,TRUE,"active","19871231","comb",9006545
"ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and norgestimate 750 mcg oral tablet with ethinyl estradiol 30 mcg and norgestimate 125 mcg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active","19871231","comb",9006546
"dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial",TRUE,1,FALSE,"active","19901231",NA,9006547
"ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet",TRUE,1,FALSE,"active","19921231",NA,9006548
"ethinyl estradiol 35 mcg and norgestimate 250 mcg with lactose oral tablet",TRUE,1,FALSE,"active","19921231",NA,9006549
"desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral table",TRUE,5,FALSE,"active","19931231",NA,9006550
"desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet",TRUE,5,FALSE,"active","19931231",NA,9006551
"ethinyl estradiol 35 mcg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet",TRUE,1,TRUE,"active","19931231","comb",9006552
"ethinyl estradiol 35 mcg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active","19931231","comb",9006553
"ethinyl estradiol 35 mcg and norethindrone 1mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet",TRUE,1,FALSE,"active","19960814","comb",9006554
"ethinyl estradiol 35 mcg and norethindrone 1mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active","19960814","comb",9006555
"metoclopramide hydrochloride 5 mg per 5 mL oral solution",TRUE,1,FALSE,"active","19970225",NA,9006556
"ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet",TRUE,4,FALSE,"active","19980107",NA,9006557
"azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection",TRUE,1,FALSE,"active","20011220",NA,9006558
