"ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name"
9000241,NA,NA,"active","19861231",NA,"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"
9000242,NA,NA,"active","19861231",NA,"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"
9000552,NA,NA,"active","19951231",NA,"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"
9000085,NA,NA,"active","19751231",NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet"
9000083,NA,NA,"active","19751231",NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet"
9000084,NA,NA,"active","19751231",NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet"
9000032,NA,NA,"active","19641231",NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet"
9000243,NA,NA,"active","19861231",NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet"
9000031,NA,NA,"active","19641231",NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet"
9000266,NA,NA,"active","19871231",NA,"acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet"
9006223,NA,NA,"inactive","20170705",NA,"acetaminophen 500 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet"
9000397,NA,NA,"inactive","20170705",NA,"acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet"
9000194,NA,NA,"active","19841231",NA,"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet"
9000103,NA,NA,"active","19781231",NA,"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet"
9000371,NA,NA,"active","19911231",NA,"acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution"
9000094,NA,NA,"active","19771231",NA,"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet"
9000396,NA,NA,"active","19921231",NA,"acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet"
9001121,NA,NA,"active","20050722",NA,"acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet"
9000195,NA,NA,"active","19841231",NA,"acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet"
9000174,NA,NA,"active","19821231",NA,"acyclovir 5 % cutaneous ointment"
9000372,NA,NA,"active","19911231",NA,"acyclovir 200 mg per 5 mL oral suspension"
9000453,NA,NA,"active","19931231",NA,"acyclovir 5 % cutaneous cream"
9000501,NA,NA,"active","19941231",NA,"acyclovir 400 mg oral tablet"
9000500,NA,NA,"active","19941231",NA,"acyclovir 200 mg oral tablet"
9000502,NA,NA,"active","19941231",NA,"acyclovir 800 mg oral tablet"
9006257,NA,NA,"active","19980318",NA,"acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial"
9000800,NA,NA,"active","19980508",NA,"acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial"
9000799,NA,NA,"active","19980508",NA,"acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial"
9000777,NA,NA,"inactive","20170825",NA,"acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection"
9006201,NA,NA,"active","19831231",NA,"alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup"
9000973,NA,NA,"active","20020214",NA,"alendronic acid (alendronate sodium) 70 mg oral tablet"
9001025,NA,NA,"active","20030512",NA,"alendronic acid (alendronate sodium) 10 mg oral tablet"
9001064,NA,NA,"active","20031223",NA,"alendronic acid (alendronate sodium) 5 mg oral tablet"
9001113,NA,NA,"active","20050614",NA,"alendronic acid (alendronate sodium) 40 mg oral tablet"
9006480,NA,NA,"active","20060313",NA,"alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 2800 unit oral tablet"
9006487,NA,NA,"active","20080917",NA,"alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 5600 unit oral tablet"
9000974,NA,NA,"active","20020221",NA,"alfuzosin hydrochloride 10 mg prolonged-release oral tablet"
9000159,NA,NA,"active","19811231",NA,"allopurinol 100 mg oral tablet"
9000073,NA,NA,"active","19741231",NA,"allopurinol 300 mg oral tablet"
9000160,NA,NA,"active","19811231",NA,"allopurinol 200 mg oral tablet"
9000161,NA,NA,"active","19811231",NA,"alprazolam 0.25 mg oral tablet"
9000162,NA,NA,"active","19811231",NA,"alprazolam 0.5 mg oral tablet"
9000454,NA,NA,"active","19931231",NA,"alprazolam 1 mg oral tablet"
9000455,NA,NA,"active","19931231",NA,"alprazolam 2 mg oral tablet"
9000840,NA,NA,"active","19990329",NA,"amiodarone hydrochloride 200 mg oral tablet"
9000909,NA,NA,"active","20000614",NA,"amiodarone hydrochloride 150 mg per 3 mL solution for injection vial"
9000910,NA,NA,"active","20000614",NA,"amiodarone hydrochloride 450 mg per 9 mL solution for injection vial"
9000911,NA,NA,"active","20000614",NA,"amiodarone hydrochloride 900 mg per 18 mL solution for injection vial"
9000998,NA,NA,"active","20020829",NA,"amiodarone hydrochloride 300 mg per 6 mL solution for injection vial"
9001194,NA,NA,"active","20070403",NA,"amiodarone hydrochloride 100 mg oral tablet"
9001448,NA,NA,"active","20150812",NA,"amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe"
9000033,NA,NA,"active","19651231",NA,"amitriptyline hydrochloride 10 mg oral tablet"
9000056,NA,NA,"active","19721231",NA,"amitriptyline hydrochloride 25 mg oral tablet"
9000046,NA,NA,"active","19691231",NA,"amitriptyline hydrochloride 50 mg oral tablet"
9000114,NA,NA,"active","19791231",NA,"amitriptyline hydrochloride 75 mg oral tablet"
