"tm_set","ccdd","n_dins","n_ntps","status","tm_status_effective_time","tm_code","en_display","fr_display"
"levothyroxine",TRUE,18,2,"active",1951-12-30,8000001,NA,NA
"benzalkonium",TRUE,54,7,"active",1951-12-31,8000002,NA,NA
"epinephrine",TRUE,13,4,"active",1951-12-31,8000003,NA,NA
"phenytoin sodium",TRUE,7,2,"active",1951-12-31,8000004,NA,NA
"phenytoin (base)",TRUE,4,2,"active",1952-12-31,8000005,NA,NA
"testosterone",TRUE,16,6,"active",1953-12-31,8000006,NA,NA
"epinephrine, lidocaine hydrochloride",TRUE,17,1,"active",1954-12-31,8000007,NA,NA
"hydrocortisone",TRUE,16,7,"active",1954-12-31,8000008,NA,NA
"hydroxyzine",TRUE,13,3,"active",1956-12-31,8000009,NA,NA
"methylphenidate",TRUE,44,3,"active",1956-12-31,8000010,NA,NA
"clioquinol, hydrocortisone",TRUE,1,1,"active",1957-12-31,8000011,NA,NA
"hydroxychloroquine",TRUE,5,1,"active",1957-12-31,8000012,NA,NA
"warfarin",TRUE,24,1,"active",1957-12-31,8000013,NA,NA
"prednisone",TRUE,10,1,"active",1959-12-31,8000014,NA,NA
"spironolactone",TRUE,4,1,"active",1959-12-31,8000015,NA,NA
"codeine, pseudoephedrine hydrochloride, triprolidine hydrochloride",TRUE,3,1,"active",1960-12-31,8000016,NA,NA
"hydrochlorothiazide, spironolactone",TRUE,4,1,"active",1960-12-31,8000017,NA,NA
"medroxyprogesterone",TRUE,15,2,"active",1960-12-31,8000018,NA,NA
"acetaminophen",TRUE,140,10,"active",1961-12-31,8000019,NA,NA
"norethindrone",TRUE,4,1,"active",1961-12-31,8000020,NA,NA
"conjugated estrogens",TRUE,18,4,"active",1963-12-31,8000021,NA,NA
"dexamethasone (base), neomycin (neomycin sulfate), polymyxin b sulfate",TRUE,3,2,"active",1963-12-31,8000022,NA,NA
"acetaminophen, caffeine, codeine",TRUE,22,1,"active",1964-12-31,8000023,NA,NA
"amitriptyline",TRUE,38,1,"active",1965-12-31,8000024,NA,NA
"betamethasone acetate, betamethasone (base)",TRUE,2,1,"active",1965-12-31,8000025,NA,NA
"nortriptyline",TRUE,8,1,"active",1965-12-31,8000026,NA,NA
"azathioprine",TRUE,6,1,"active",1966-12-31,8000027,NA,NA
"dexamethasone (base)",TRUE,19,7,"active",1966-12-31,8000028,NA,NA
"quinine",TRUE,11,2,"active",1966-12-31,8000029,NA,NA
"triamcinolone",TRUE,16,5,"active",1966-12-31,8000030,NA,NA
"hydrochlorothiazide",TRUE,20,1,"active",1968-12-31,8000031,NA,NA
"carbamazepine",TRUE,28,4,"active",1969-12-31,8000032,NA,NA
"acetylsalicylic acid, butalbital, caffeine, codeine",TRUE,6,1,"active",1970-12-31,8000033,NA,NA
"acetylsalicylic acid, caffeine, codeine",TRUE,7,1,"active",1970-12-31,8000034,NA,NA
"betamethasone (base), gentamicin (gentamicin sulfate)",TRUE,3,4,"active",1970-12-31,8000035,NA,NA
"clindamycin",TRUE,27,6,"active",1970-12-31,8000036,NA,NA
"erythromycin",TRUE,14,5,"active",1970-12-31,8000037,NA,NA
"metronidazole",TRUE,14,7,"active",1970-12-31,8000038,NA,NA
"acetylsalicylic acid, butalbital, caffeine",TRUE,6,2,"active",1971-12-31,8000039,NA,NA
"cephalexin",TRUE,21,4,"active",1971-12-31,8000040,NA,NA
"lithium carbonate",TRUE,11,2,"active",1971-12-31,8000041,NA,NA
"chlorhexidine",TRUE,46,12,"active",1972-12-31,8000042,NA,NA
"ibuprofen",TRUE,65,6,"active",1972-12-31,8000043,NA,NA
"nitroglycerin",TRUE,27,5,"active",1972-12-31,8000044,NA,NA
"oxycodone",TRUE,38,3,"active",1973-12-31,8000045,NA,NA
"allopurinol",TRUE,16,1,"active",1974-12-31,8000046,NA,NA
"colchicine",TRUE,4,1,"active",1974-12-31,8000047,NA,NA
"diazepam",TRUE,18,4,"active",1974-12-31,8000048,NA,NA
"ethinyl estradiol, norethindrone",TRUE,19,1,"active",1974-12-31,8000049,NA,NA
"nitrofurantoin",TRUE,5,2,"active",1974-12-31,8000050,NA,NA
"prednisolone",TRUE,10,4,"active",1974-12-31,8000051,NA,NA
"prednisolone, sulfacetamide sodium",TRUE,4,3,"active",1974-12-31,8000052,NA,NA
"betamethasone (base)",TRUE,35,4,"active",1975-12-31,8000053,NA,NA
"carbidopa, levodopa",TRUE,21,3,"active",1975-12-31,8000054,NA,NA
"folic acid",TRUE,7,2,"active",1975-12-31,8000055,NA,NA
"hydrocortisone, zinc sulfate",TRUE,12,3,"active",1975-12-31,8000056,NA,NA
"furosemide",TRUE,25,3,"active",1976-12-31,8000057,NA,NA
"metronidazole, nystatin",TRUE,2,2,"active",1976-12-31,8000058,NA,NA
"acetaminophen, oxycodone",TRUE,10,1,"active",1977-12-31,8000059,NA,NA
"benserazide (benserazide hydrochloride), levodopa",TRUE,3,1,"active",1977-12-31,8000060,NA,NA
"clonazepam",TRUE,38,1,"active",1977-12-31,8000061,NA,NA
"epinephrine, prilocaine hydrochloride",TRUE,2,1,"active",1977-12-31,8000062,NA,NA
"metoprolol",TRUE,48,3,"active",1977-12-31,8000063,NA,NA
"penicillin v",TRUE,4,2,"active",1977-12-31,8000064,NA,NA
"acetaminophen, codeine",TRUE,10,2,"active",1978-12-31,8000065,NA,NA
"baclofen",TRUE,26,2,"active",1978-12-31,8000066,NA,NA
"benztropine",TRUE,5,3,"active",1978-12-31,8000067,NA,NA
"camphor, dexamethasone (base), parachlorophenol, thymol",TRUE,1,1,"active",1978-12-31,8000068,NA,NA
"codeine",TRUE,15,5,"active",1978-12-31,8000069,NA,NA
"hydrocortisone, pramoxine hydrochloride, zinc sulfate",TRUE,6,3,"active",1978-12-31,8000070,NA,NA
"morphine",TRUE,76,8,"active",1978-12-31,8000071,NA,NA
"valproic acid (valproate)",TRUE,5,2,"active",1978-12-31,8000072,NA,NA
"amoxicillin",TRUE,43,6,"active",1979-12-31,8000073,NA,NA
"betamethasone valerate",TRUE,4,4,"active",1979-12-31,8000074,NA,NA
"calcitriol",TRUE,8,3,"active",1979-12-31,8000075,NA,NA
"ethinyl estradiol, ethynodiol diacetate",TRUE,2,1,"active",1979-12-31,8000076,NA,NA
"hydrocortisone, pramoxine hydrochloride",TRUE,3,3,"active",1979-12-31,8000077,NA,NA
"nystatin",TRUE,11,5,"active",1979-12-31,8000078,NA,NA
"oxazepam",TRUE,18,1,"active",1979-12-31,8000079,NA,NA
"sulfamethoxazole, trimethoprim",TRUE,9,3,"active",1979-12-31,8000080,NA,NA
"timolol",TRUE,21,3,"active",1979-12-31,8000081,NA,NA
"diclofenac",TRUE,53,8,"active",1980-12-31,8000082,NA,NA
"epinephrine, mepivacaine hydrochloride",TRUE,1,1,"active",1980-12-31,8000083,NA,NA
"haloperidol",TRUE,22,3,"active",1980-12-31,8000084,NA,NA
"indomethacin",TRUE,9,2,"active",1980-12-31,8000085,NA,NA
"propranolol",TRUE,19,4,"active",1980-12-31,8000086,NA,NA
"temazepam",TRUE,10,1,"active",1980-12-31,8000087,NA,NA
"alprazolam",TRUE,31,1,"active",1981-12-31,8000088,NA,NA
"ammonium chloride, codeine, diphenhydramine hydrochloride",TRUE,3,2,"active",1981-12-31,8000089,NA,NA
"bromazepam",TRUE,9,1,"active",1981-12-31,8000090,NA,NA
"flurazepam",TRUE,9,1,"active",1981-12-31,8000091,NA,NA
