"","dpd_ingredient","active_ingredient_code","hydrate","ccdd","top250name","ing_stem"
"1","SEVOFLURANE",169,FALSE,"","","SEVOFLURANE"
"2","Pomalidomide",22238,FALSE,"","","Pomalidomide"
"3","MUPIROCIN",1832,FALSE,"","","MUPIROCIN"
"4","BENZALKONIUM CHLORIDE",197,FALSE,"Y","BENZALKONIUM","BENZALKONIUM"
"5","DARUNAVIR (DARUNAVIR ETHANOLATE)",19793,FALSE,"","","DARUNAVIR (DARUNAVIR ETHANOLATE)"
"6","FIMBRIAE",18,FALSE,"","","FIMBRIAE"
"7","ALFUZOSIN HYDROCHLORIDE",12699,FALSE,"Y","ALFUZOSIN","ALFUZOSIN"
"8","STANDARDIZED TIMOTHY GRASS POLLEN",6333,FALSE,"","","STANDARDIZED TIMOTHY GRASS POLLEN"
"9","Grass Pollen Allergen Extract",21252,FALSE,"","","Grass Pollen Allergen Extract"
"10","CARBOPLATIN",1755,FALSE,"","","CARBOPLATIN"
"11","TELBIVUDINE",20037,FALSE,"","","TELBIVUDINE"
"12","ISOPROTERENOL HYDROCHLORIDE",10114,FALSE,"","","ISOPROTERENOL HYDROCHLORIDE"
"13","PREDNICARBATE",7559,FALSE,"","","PREDNICARBATE"
"14","Fingolimod (Fingolimod Hydrochloride)",20671,FALSE,"","","Fingolimod (Fingolimod Hydrochloride)"
"15","CILASTATIN (CILASTATIN SODIUM)",11321,FALSE,"","","CILASTATIN (CILASTATIN SODIUM)"
"16","ENSULIZOLE",12634,FALSE,"","","ENSULIZOLE"
"17","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C",20530,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C"
"18","PERICIAZINE",13098,FALSE,"","","PERICIAZINE"
"19","INSULIN SEMI SYNTHETIC HUMAN",7312,FALSE,"","","INSULIN SEMI SYNTHETIC HUMAN"
"20","NEVIRAPINE",11796,FALSE,"","","NEVIRAPINE"
"21","Perampanel",22049,FALSE,"","","Perampanel"
"22","YELLOW FEVER VACCINE",7903,FALSE,"","","YELLOW FEVER VACCINE"
"23","Ponatinib (Ponatinib Hydrochloride)",22576,FALSE,"","","Ponatinib (Ponatinib Hydrochloride)"
"24","RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)",7897,FALSE,"","","RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)"
"25","CEFTRIAXONE (CEFTRIAXONE SODIUM)",11309,FALSE,"","","CEFTRIAXONE (CEFTRIAXONE SODIUM)"
"26","DOMIPHEN BROMIDE",5904,FALSE,NA,NA,NA
"27","SULFUR HEXAFLUORIDE",12131,FALSE,"","","SULFUR HEXAFLUORIDE"
"28","L-ARGININE",938,FALSE,"","","L-ARGININE"
"29","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",2372,FALSE,NA,NA,NA
"30","URSODIOL",952,FALSE,"","","URSODIOL"
"31","DOCETAXEL",157,FALSE,"","","DOCETAXEL"
"32","FOLIC ACID (SODIUM FOLATE)",4991,FALSE,"","","FOLIC ACID (SODIUM FOLATE)"
"33","SULFUR",74,FALSE,"","","SULFUR"
"34","PASIREOTIDE (Pasireotide Pamoate)",22149,FALSE,"","","PASIREOTIDE (Pasireotide Pamoate)"
"35","CEFOXITIN (CEFOXITIN SODIUM)",11254,FALSE,"","","CEFOXITIN (CEFOXITIN SODIUM)"
"36","NABUMETONE",946,FALSE,"","","NABUMETONE"
"37","INSULIN ISOPHANE HUMAN BIOSYNTHETIC",7671,FALSE,"Y","HUMAN INSULIN ISOPHANE","INSULIN ISOPHANE HUMAN"
"38","NORETHINDRONE ACETATE",7498,FALSE,"Y","NORETHINDRONE","NORETHINDRONE"
"39","ZOLMITRIPTAN",11793,FALSE,"","","ZOLMITRIPTAN"
"40","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A",20649,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A"
"41","KETAMINE (KETAMINE HYDROCHLORIDE)",11190,FALSE,"","","KETAMINE (KETAMINE HYDROCHLORIDE)"
"42","PYRANTEL (PYRANTEL PAMOATE)",11253,FALSE,"","","PYRANTEL (PYRANTEL PAMOATE)"
"43","IRON (FERROUS FUMARATE)",309,FALSE,"","","IRON (FERROUS FUMARATE)"
"44","LEUPROLIDE ACETATE",1756,FALSE,"","","LEUPROLIDE ACETATE"
"45","L-LYSINE",193,FALSE,"","","L-LYSINE"
"46","L-ORNITHINE DIHYDROCHLORIDE",11709,FALSE,"","","L-ORNITHINE DIHYDROCHLORIDE"
"47","LIDOCAINE",9471,FALSE,"","","LIDOCAINE"
"48","EPHEDRINE SULFATE",8937,FALSE,"","","EPHEDRINE SULFATE"
"49","LUTROPIN ALFA",15875,FALSE,"","","LUTROPIN ALFA"
"50","TRIAZOLAM",2117,FALSE,"","","TRIAZOLAM"
"51","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A",20650,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A"
"52","ENALAPRIL SODIUM (ENALAPRIL MALEATE)",20170,FALSE,"Y","ENALAPRIL","ENALAPRIL"
"53","HISTIDINE",10237,FALSE,"","","HISTIDINE"
"54","PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE)",11354,FALSE,"","","PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE)"
"55","ESTRAMUSTINE PHOSPHATE SODIUM",2103,FALSE,"","","ESTRAMUSTINE PHOSPHATE SODIUM"
"56","DEXTROAMPHETAMINE SACCHARATE",8295,FALSE,"Y","DEXTROAMPHETAMINE","DEXTROAMPHETAMINE"
"57","MEGLUMINE IOXITALAMATE",271,FALSE,"","","MEGLUMINE IOXITALAMATE"
"58","LAMIVUDINE",122,FALSE,"","","LAMIVUDINE"
"59","CABAZITAXEL",20792,FALSE,"","","CABAZITAXEL"
"60","TRABECTEDIN",20593,FALSE,"","","TRABECTEDIN"
"61","ONDANSETRON (ONDANSETRON HYDROCHLORIDE)",11104,FALSE,"","","ONDANSETRON (ONDANSETRON HYDROCHLORIDE)"
"62","IXAZOMIB (IXAZOMIB CITRATE)",22810,FALSE,"","","IXAZOMIB (IXAZOMIB CITRATE)"
"63","ACYCLOVIR",1950,FALSE,"Y","ACYCLOVIR","ACYCLOVIR"
"64","DISOPYRAMIDE",2191,FALSE,"","","DISOPYRAMIDE"
"65","TRAZODONE HYDROCHLORIDE",1939,FALSE,"Y","TRAZODONE","TRAZODONE"
"66","CETRIMIDE",2199,FALSE,"","","CETRIMIDE"
"67","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T)",12127,FALSE,"","","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T)"
"68","HEPATITIS A VACCINE, INACTIVATED",348,FALSE,"","","HEPATITIS A VACCINE, INACTIVATED"
"69","CROMOLYN SODIUM",11447,FALSE,"","","CROMOLYN SODIUM"
"70","APROTININ (SYNTHETIC)",20461,FALSE,NA,NA,NA
"71","OCTINOXATE",12049,FALSE,"","","OCTINOXATE"
"72","AbobotulinumtoxinA",21617,FALSE,"","","AbobotulinumtoxinA"
"73","DARBEPOETIN ALFA",12550,FALSE,"","","DARBEPOETIN ALFA"
"74","ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE)",11753,TRUE,"","","ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE)"
"75","PACLITAXEL (TAXUS CANADENSIS)",732,FALSE,"","","PACLITAXEL (TAXUS CANADENSIS)"
"76","VECURONIUM BROMIDE",1777,FALSE,"","","VECURONIUM BROMIDE"
"77","CHOLINE",4955,FALSE,"","","CHOLINE"
"78","PALIVIZUMAB",12770,FALSE,"","","PALIVIZUMAB"
"79","THIOTHIXENE",10039,FALSE,"","","THIOTHIXENE"
"80","SEALER PROTEIN (HUMAN)",20462,FALSE,NA,NA,NA
"81","HYDROCORTISONE",7532,FALSE,"Y","HYDROCORTISONE","HYDROCORTISONE"
"82","LIRAGLUTIDE",20592,FALSE,"","","LIRAGLUTIDE"
"83","KETOTIFEN FUMARATE",1944,FALSE,"","","KETOTIFEN FUMARATE"
"84","OXYCODONE HYDROCHLORIDE",6165,FALSE,"Y","OXYCODONE","OXYCODONE"
"85","BESIFLOXACIN",20556,FALSE,"","","BESIFLOXACIN"
"86","MAGNESIUM HYDROXIDE",720,FALSE,"","","MAGNESIUM HYDROXIDE"
"87","RESLIZUMAB",22734,FALSE,"","","RESLIZUMAB"
"88","LEUCINE",10239,FALSE,"","","LEUCINE"
"89","PAROXETINE (PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE)",11340,FALSE,"Y","PAROXETINE","PAROXETINE"
"90","ETOPOSIDE",1998,FALSE,"","","ETOPOSIDE"
"91","PATENT BLUE SODIUM",2140,FALSE,"","","PATENT BLUE SODIUM"
"92","EZETIMIBE",12754,FALSE,"Y","EZETIMIBE","EZETIMIBE"
"93","DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)",20301,FALSE,"Y","DABIGATRAN ETEXILATE","DABIGATRAN"
"94","Sevelamer Carbonate",20603,FALSE,"","","Sevelamer Carbonate"
"95","SPIRAMYCIN",8589,FALSE,"","","SPIRAMYCIN"
"96","Influenza virus type B (Victoria)",22408,FALSE,"","","Influenza virus type B (Victoria)"
"97","L-LYSINE (LYSINE ACETATE)",193,FALSE,"","","L-LYSINE (LYSINE ACETATE)"
"98","NALTREXONE HYDROCHLORIDE",20300,FALSE,"","","NALTREXONE HYDROCHLORIDE"
"99","CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)",925,TRUE,"","","CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)"
"100","FRAMYCETIN SULFATE",8626,FALSE,"Y","FRAMYCETIN SULFATE","FRAMYCETIN"
"101","FLUTICASONE PROPIONATE",637,FALSE,"Y","FLUTICASONE","FLUTICASONE"
"102","PANTOPRAZOLE (PANTOPRAZOLE MAGNESIUM)",11086,FALSE,"Y","PANTOPRAZOLE","PANTOPRAZOLE"
"103","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE",20580,FALSE,"","","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE"
"104","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN",19708,FALSE,"","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN"
"105","CUPRIC CHLORIDE",5097,FALSE,"","","CUPRIC CHLORIDE"
"106","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F",20544,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F"
"107","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)",13359,FALSE,"","","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)"
"108","INSULIN NPH HUMAN DNA ORIGIN",7311,FALSE,"","","INSULIN NPH HUMAN DNA ORIGIN"
"109","SAQUINAVIR (SAQUINAVIR MESYLATE)",11371,FALSE,"","","SAQUINAVIR (SAQUINAVIR MESYLATE)"
