"","route_of_administration","pharmaceutical_form","NTP_DOSAGE_FORM"
"1","INHALATION","METERED-DOSE AEROSOL","pressurised inhalation"
"2","SUBLINGUAL","METERED-DOSE AEROSOL","sublingual spray"
"3","NASAL","METERED-DOSE AEROSOL","nasal spray"
"4","TOPICAL","METERED-DOSE AEROSOL","oromucosal spray"
"5","TOPICAL","AEROSOL","cutaneous spray"
"6","INHALATION","AEROSOL","powder for nebuliser solution"
"7","RECTAL","AEROSOL","rectal foam"
"8","ORAL","CAPSULE","oral capsule"
"9","INHALATION","CAPSULE","inhalation powder capsule"
"10","TOPICAL","CREAM","cutaneous cream"
"11","VAGINAL","CREAM","vaginal cream"
"12","RECTAL","CREAM","rectal cream"
"13","NASAL","CREAM","nasal cream"
"14","OTIC","CREAM","otic cream"
"15","OPHTHALMIC","CREAM","ophthalmic cream"
"16","INTRAOCULAR","DROPS","solution for injection"
"17","OTIC","DROPS","otic drops"
"18","OPHTHALMIC","DROPS","ophthalmic drops"
"19","NASAL","DROPS","nasal drops"
"20","ORAL","DROPS","oral drops"
"21","TOPICAL","DRESSING","dressing"
"22","ORAL","CAPSULE (ENTERIC-COATED)","gastro-resistant capsule"
"23","ORAL","TABLET (ENTERIC-COATED)","gastro-resistant tablet"
"24","ORAL","ELIXIR","oral solution"
"25","TOPICAL","EMULSION","cutaneous emulsion"
"26","INTRAMUSCULAR","EMULSION","emulsion for injection"
"27","INTRAVENOUS","EMULSION","emulsion for injection"
"28","ORAL","EMULSION","oral emulsion"
"29","OPHTHALMIC","EMULSION","ophthalmic drops"
"30","SUBCUTANEOUS","EMULSION","emulsion for injection"
"31","RECTAL","ENEMA","rectal liquid"
"32","ORAL","TABLET (EFFERVESCENT)","effervescent oral tablet"
"33","BUCCAL","TABLET (EFFERVESCENT)","buccal tablet"
"34","INHALATION","GAS","medicinal gas"
"35","URETHRAL","JELLY","urethral gel"
"36","TOPICAL","JELLY","cutaneous gel"
"37","SUBCUTANEOUS","IMPLANT","implant"
"38","INTRAVITREAL","IMPLANT","intravitreal implant"
"39","BLOCK/INFILTRATION","LIQUID","solution for injection"
"40","BUCCAL","LIQUID","mouthwash"
"41","DENTAL","LIQUID","dental solution"
"42","DIALYSIS","LIQUID","solution for haemodialysis"
"43","EPIDURAL","LIQUID","solution for injection"
"44","INTRA-ARTICULAR","LIQUID","solution for injection"
"45","INTRA-ARTERIAL","LIQUID","solution for injection"
"46","INTRACAVITARY","LIQUID","solution for injection"
"47","INTRACUTANEOUS","LIQUID","solution for injection"
"48","INTRADERMAL","LIQUID","solution for injection"
"49","INTRALESIONAL","LIQUID","solution for injection"
"50","INTRAMUSCULAR","LIQUID","solution for injection"
"51","INHALATION","LIQUID","inhalation vapour (liquid)"
"52","INTRAPERITONEAL","LIQUID","irrigation solution"
"53","IRRIGATION","LIQUID","irrigation solution"
"54","INTRASYNOVIAL","LIQUID","solution for injection"
"55","INTRAUTERINE","LIQUID","solution for injection"
"56","INTRAVENOUS","LIQUID","solution for injection"
"57","NASAL","LIQUID","nasal spray"
"58","OPHTHALMIC","LIQUID","ophthalmic drops"
"59","ORAL","LIQUID","oral liquid"
"60","OTIC","LIQUID","otic drops"
"61","PARENTERAL (UNSPECIFIED)","LIQUID","solution for injection"
