"schedule","ing_stem","n"
"Narcotic (CDSA I)","ACETAMINOPHEN",50
"Narcotic (CDSA I)","ACETYLSALICYLIC ACID",19
"Narcotic (CDSA I)","ALCOHOL ANHYDROUS",2
"Narcotic (CDSA I)","ALFENTANIL (ALFENTANIL HYDROCHLORIDE)",1
"Narcotic (CDSA I)","AMMONIUM CHLORIDE",3
"Narcotic (CDSA I)","ATROPINE SULFATE",1
"Narcotic (CDSA I)","BELLADONNA",1
"Narcotic (CDSA I)","BROMPHENIRAMINE MALEATE",3
"Narcotic (CDSA I)","BUPRENORPHINE",10
"Narcotic (CDSA I)","BUTALBITAL",6
"Narcotic (CDSA I)","CAFFEINE",35
"Narcotic (CDSA I)","CHLORZOXAZONE",1
"Narcotic (CDSA I)","COCAINE HYDROCHLORIDE",4
"Narcotic (CDSA I)","CODEINE",87
"Narcotic (CDSA I)","DIPHENHYDRAMINE HYDROCHLORIDE",3
"Narcotic (CDSA I)","DIPHENOXYLATE HYDROCHLORIDE",1
"Narcotic (CDSA I)","DOXYLAMINE SUCCINATE",3
"Narcotic (CDSA I)","ETAFEDRIN HYDROCHLORIDE",2
"Narcotic (CDSA I)","FENTANYL",60
"Narcotic (CDSA I)","GUAIFENESIN",8
"Narcotic (CDSA I)","HYDROCODONE",2
"Narcotic (CDSA I)","HYDROCODONE BITARTRATE",8
"Narcotic (CDSA I)","HYDROMORPHONE",41
"Narcotic (CDSA I)","KETAMINE (KETAMINE HYDROCHLORIDE)",5
"Narcotic (CDSA I)","MEPERIDINE HYDROCHLORIDE",6
"Narcotic (CDSA I)","MEPERIDINE (MEPERIDINE HYDROCHLORIDE)",3
"Narcotic (CDSA I)","METHADONE",10
"Narcotic (CDSA I)","METHOCARBAMOL",11
"Narcotic (CDSA I)","MORPHINE",76
"Narcotic (CDSA I)","NALOXONE",10
"Narcotic (CDSA I)","NORMETHADONE HYDROCHLORIDE",1
"Narcotic (CDSA I)","OPIUM",1
"Narcotic (CDSA I)","OXYCODONE",53
"Narcotic (CDSA I)","PENTAZOCINE (PENTAZOCINE HYDROCHLORIDE)",1
"Narcotic (CDSA I)","PENTAZOCINE (PENTAZOCINE LACTATE)",1
"Narcotic (CDSA I)","PHENIRAMINE MALEATE",2
"Narcotic (CDSA I)","PHENYLEPHRINE HYDROCHLORIDE",5
"Narcotic (CDSA I)","PHENYLTOLOXAMINE",2
"Narcotic (CDSA I)","P-HYDROXYEPHEDRINE HYDROCHLORIDE",1
