"ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing","CCDD.status","Comments","DPD_Ingredient_FR","ing_stem_fr","ntp_ing_fr"
"Y","","PROPARACAINE HYDROCHLORIDE","proparacaine","FALSE","proparacaine hydrochloride","In QA","Was PROXYMETACAINE HYDROCHLORIDE","Chlorhydrate de proparacaïne","proparacaïne","chlorhydrate de proparacaïne"
"Y","","ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED","rurioctocog alfa pegol","FALSE","rurioctocog alfa pegol","In QA","","Facteur antihémophilique (recombinant), pégylé","rurioctocog alfa pégol","rurioctocog alfa pégol"
"Y","","GILTERITINIB (GILTERITINIB FUMARATE)","gilteritinib","FALSE","gilteritinib (gilteritinib fumarate)","No live products","","Giltéritinib (Fumarate de giltéritinib)","giltéritinib","giltéritinib (fumarate de giltéritinib)"
"Y","","ICOSAPENT ETHYL","icosapent","FALSE","icosapent ethyl","No live products","","Icosapent éthyl","icosapent","icosapent éthyl"
"Y","","UPADACITINIB","upadacitinib","FALSE","upadacitinib","No live products","","UPADACITINIB","upadacitinib","upadacitinib"
"Y","","PLECANATIDE","plecanatide","FALSE","plecanatide","No live products","","Plécanatide","plécanatide","plécanatide"
"Y","","NETILMICIN (NETILMICIN SULFATE)","netilmicin","FALSE","netilmicin (netilmicin sulfate)","No live products","","Nétilmicine (Sulfate de nétilmicine)","nétilmicine","nétilmicine (sulfate de nétilmicine)"
"Y","","ERDAFITINIB","erdafitinib","FALSE","erdafitinib","Released","","Erdafitinib","erdafitinib","erdafitinib"
"Y","","TALAZOPARIB (TALAZOPARIB TOSYLATE)","talazoparib","FALSE","talazoparib (talazoparib tosylate)","No live products","","Talazoparib","talazoparib","talazoparib (tosylate de talazoparib)"
"Y","","GLUCAGON","glucagon","FALSE","glucagon","Released","","Glucagon","glucagon","glucagon"
"Y","","ACALABRUTINIB","acalabrutinib","FALSE","acalabrutinib","Released","","ACALABRUTINIB","acalabrutinib","acalabrutinib"
"Y","","RAVULIZUMAB","ravulizumab","FALSE","ravulizumab","No live products","","Ravulizumab","ravulizumab","ravulizumab"
"Y","","GALCANEZUMAB","galcanezumab","FALSE","galcanezumab","Released","","GALCANÉZUMAB","galcanézumab","galcanézumab"
"Y","","TEDIZOLID PHOSPHATE","tedizolid","FALSE","tedizolid phosphate","No live products","","Phosphate de tédizolid","tédizolid","phosphate de tédizolid"
