DPD_ROUTE_OF_ADMINISTRATION	DPD PHARMACEUTICAL_FORM	NTP_DOSAGE_FORM
INHALATION	METERED-DOSE AEROSOL	pressurised inhalation
SUBLINGUAL	METERED-DOSE AEROSOL	sublingual spray
NASAL	METERED-DOSE AEROSOL	nasal spray
TOPICAL	METERED-DOSE AEROSOL	oromucosal spray
ORAL	METERED-DOSE AEROSOL	pressurised inhalation
TOPICAL	AEROSOL	cutaneous spray
INHALATION	AEROSOL	powder for nebuliser solution
RECTAL	AEROSOL	rectal foam
ORAL	CAPSULE	oral capsule
INHALATION	CAPSULE	inhalation powder capsule
TOPICAL	CREAM	cutaneous cream
VAGINAL	CREAM	vaginal cream
RECTAL	CREAM	rectal cream
NASAL	CREAM	nasal cream
OTIC	CREAM	otic cream
OPHTHALMIC	CREAM	ophthalmic cream
INTRAOCULAR	DROPS	solution for injection
OTIC	DROPS	otic drops
OPHTHALMIC	DROPS	ophthalmic drops
NASAL	DROPS	nasal drops
ORAL	DROPS	oral drops
TOPICAL	DROPS	cutaneous drops
TOPICAL	DRESSING	dressing
ORAL	CAPSULE (ENTERIC-COATED)	gastro-resistant capsule
ORAL	TABLET (ENTERIC-COATED)	gastro-resistant tablet
ORAL	ELIXIR	oral solution
TOPICAL	EMULSION	cutaneous emulsion
INTRAMUSCULAR	EMULSION	emulsion for injection
INTRAVENOUS	EMULSION	emulsion for injection
ORAL	EMULSION	oral emulsion
OPHTHALMIC	EMULSION	ophthalmic drops
SUBCUTANEOUS	EMULSION	emulsion for injection
RECTAL	ENEMA	rectal liquid
ORAL	TABLET (EFFERVESCENT)	effervescent oral tablet
BUCCAL	TABLET (EFFERVESCENT)	buccal tablet
SUBLINGUAL	TABLET (EFFERVESCENT)	buccal tablet
INHALATION	GAS	medicinal gas
URETHRAL	JELLY	urethral gel
TOPICAL	JELLY	cutaneous gel
SUBCUTANEOUS	IMPLANT	implant
INTRAVITREAL	IMPLANT	intravitreal implant
BLOCK/INFILTRATION	LIQUID	solution for injection
BUCCAL	LIQUID	mouthwash
DENTAL	LIQUID	dental solution
DIALYSIS	LIQUID	solution for haemodialysis
EPIDURAL	LIQUID	solution for injection
INTRA-ARTICULAR	LIQUID	solution for injection
INTRA-ARTERIAL	LIQUID	solution for injection
INTRACAVITARY	LIQUID	solution for injection
INTRACUTANEOUS	LIQUID	solution for injection
INTRADERMAL	LIQUID	solution for injection
INTRALESIONAL	LIQUID	solution for injection
INTRAMUSCULAR	LIQUID	solution for injection
INHALATION	LIQUID	inhalation vapour (liquid)
INTRAPERITONEAL	LIQUID	irrigation solution
IRRIGATION	LIQUID	irrigation solution
INTRASYNOVIAL	LIQUID	solution for injection
INTRAUTERINE	LIQUID	solution for injection
INTRAVENOUS	LIQUID	solution for injection
NASAL	LIQUID	nasal spray
OPHTHALMIC	LIQUID	ophthalmic drops
ORAL	LIQUID	oral liquid
OTIC	LIQUID	otic drops
PARENTERAL (UNSPECIFIED)	LIQUID	solution for injection
RECTAL	LIQUID	rectal solution
SOFT TISSUE INJECTION	LIQUID	solution for injection
SUBCUTANEOUS	LIQUID	solution for injection
TOPICAL	LIQUID	cutaneous liquid
TOPICAL (COMMERCIAL)	LIQUID	cutaneous solution
TOPICAL (HOUSEHOLD)	LIQUID	cutaneous solution
INTRACAVERNOSAL	LIQUID	solution for injection
PERCUTANEOUS	LIQUID	solution for injection
INTRAVASCULAR	LIQUID	solution for injection
TOPICAL	LOTION	lotion
TOPICAL (HOUSEHOLD)	LOTION	lotion
TOPICAL (HOSPITAL/HC FACILITIES)	LOTION	lotion
ORAL	LOZENGE	lozenge
ORAL	MOUTHWASH/GARGLE	gargle/mouthwash
BUCCAL	MOUTHWASH/GARGLE	gargle/mouthwash
TOPICAL	OINTMENT	cutaneous ointment
VAGINAL	OINTMENT	vaginal ointment
RECTAL	OINTMENT	rectal ointment
NASAL	OINTMENT	nasal ointment
OTIC	OINTMENT	otic ointment
OPHTHALMIC	OINTMENT	ophthalmic ointment
TOPICAL	PAD	pad
ORAL	PACKAGE	oral powder
TOPICAL	PLASTER	plaster
ORAL	PASTE	oral paste
TOPICAL	PASTE	cutaneous paste
DENTAL	PASTE	oromucosal paste
ORAL	GRANULES	granules for oral suspension
TOPICAL	POWDER	cutaneous powder
ORAL	POWDER	oral powder
DIALYSIS	POWDER	powder for concentrate for solution for haemodialysis
INTRAVENOUS	POWDER	powder for solution for injection
INHALATION	POWDER	inhalation powder
INTRAMUSCULAR	POWDER	powder for suspension for injection
NASAL	POWDER	nasal powder
DIALYSIS	POWDER FOR SOLUTION	powder for concentrate for solution for haemodialysis
INTRA-ARTERIAL	POWDER FOR SOLUTION	powder for solution for injection
INTRACAVITARY	POWDER FOR SOLUTION	powder for solution for injection
INTRADERMAL	POWDER FOR SOLUTION	powder for solution for injection
INTRALESIONAL	POWDER FOR SOLUTION	powder for solution for injection
INTRAMUSCULAR	POWDER FOR SOLUTION	powder for solution for injection
INHALATION	POWDER FOR SOLUTION	powder for nebuliser solution
INTRATHECAL	POWDER FOR SOLUTION	powder for solution for injection
INTRAPERITONEAL	POWDER FOR SOLUTION	powder for solution for injection
INTRAPLEURAL	POWDER FOR SOLUTION	powder for solution for injection
INSTILLATION	POWDER FOR SOLUTION	powder for solution for injection
INTRASPINAL	POWDER FOR SOLUTION	powder for solution for injection
INTRAVENOUS	POWDER FOR SOLUTION	powder for solution for injection
OPHTHALMIC	POWDER FOR SOLUTION	powder for ophthalmic drops
ORAL	POWDER FOR SOLUTION	powder for oral solution
RECTAL	POWDER FOR SOLUTION	powder for rectal solution
SUBCUTANEOUS	POWDER FOR SOLUTION	powder for solution for injection
TOPICAL	POWDER FOR SOLUTION	powder for cutaneous solution
INTRACAVERNOSAL	POWDER FOR SOLUTION	powder for solution for injection
INTRAVESICAL	POWDER FOR SOLUTION	powder for solution for injection
NASOGASTRIC	POWDER FOR SOLUTION	powder for oral solution
TOPICAL	SHAMPOO	shampoo
TOPICAL (HOSPITAL/HC FACILITIES)	SPONGE	medicated sponge
ORAL	CAPSULE (SUSTAINED-RELEASE)	prolonged-release oral capsule
ORAL	SYRUP (EXTENDED-RELEASE)	syrup
ORAL	TABLET (EXTENDED-RELEASE)	prolonged-release oral tablet
NASAL	STICK	nasal stick
OTIC	STICK	otic stick
TOPICAL	STICK	cutaneous stick
OPHTHALMIC	STRIP	ophthalmic strip
ORAL	STRIP	orodispersible tablet
RECTAL	SUPPOSITORY	suppository
VAGINAL	SUPPOSITORY	pessary
URETHRAL	SUPPOSITORY	urethral stick
INTRA-ARTICULAR	SUSPENSION	suspension for injection
INTRABURSAL	SUSPENSION	suspension for injection
INTRADERMAL	SUSPENSION	suspension for injection
INTRALESIONAL	SUSPENSION	suspension for injection
INTRAMUSCULAR	SUSPENSION	suspension for injection
INHALATION	SUSPENSION	nebuliser suspension
INTRATHECAL	SUSPENSION	suspension for injection
INTRATRACHEAL	SUSPENSION	endotracheopulmonary instillation
INTRASYNOVIAL	SUSPENSION	suspension for injection
INTRAVENOUS	SUSPENSION	suspension for injection
NASAL	SUSPENSION	nasal spray
OPHTHALMIC	SUSPENSION	ophthalmic drops
ORAL	SUSPENSION	oral suspension
OTIC	SUSPENSION	otic drops
