tm_code,tm_formal_name
8000110,acebutolol
8000023,acetaminophen and caffeine and codeine
8000065,acetaminophen and codeine
8000059,acetaminophen and oxycodone
8000349,acetaminophen and tramadol
8000774,acetylsalicylic acid and oxycodone
8000095,acyclovir
8000779,alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate
8000312,alendronic acid
8000413,alendronic acid and vitamin D3 (cholecalciferol)
8000313,alfuzosin
8000046,allopurinol
8000088,alprazolam
8000269,amiodarone
8000024,amitriptyline
8000153,amlodipine
8000073,amoxicillin
8000154,amoxicillin and clavulanic acid
8000389,aripiprazole
8000121,atenolol
8000347,atomoxetine
8000235,atorvastatin
8000027,azathioprine
8000224,azithromycin
8000066,baclofen
8000208,beclomethasone
8000788,belladonna and ergotamine and phenobarbital
8000785,belladonna and opium
8000067,benztropine
8000302,betahistine
8000053,betamethasone (base)
8000791,betamethasone dipropionate
8000792,betamethasone valerate
8000315,bimatoprost
8000325,bisoprolol
8000090,bromazepam
8000780,brompheniramine and guaifenesin and hydrocodone and phenylephrine
8000134,budesonide
8000775,buprenorphine
8000372,buprenorphine and naloxone
8000257,bupropion
8000776,butorphanol
8000075,calcitriol
8000266,candesartan
8000300,candesartan and hydrochlorothiazide
8000032,carbamazepine
8000054,carbidopa and levodopa
8000329,carvedilol
8000210,cefprozil
8000271,celecoxib
8000040,cephalexin
8000237,cetirizine
8000367,ciclesonide
8000230,ciclopirox
8000159,ciprofloxacin
8000338,ciprofloxacin and dexamethasone (base)
8000267,citalopram
8000160,clarithromycin
8000036,clindamycin
8000238,clobazam
8000161,clobetasol
8000061,clonazepam
8000135,clonidine
8000263,clopidogrel
8000773,clotrimazole
8000147,clozapine
8000069,codeine
8000047,colchicine
8000021,conjugated estrogens
8000196,cyclobenzaprine
8000256,cyproterone and ethinyl estradiol
8000378,dabigatran
8000179,desogestrel and ethinyl estradiol
8000385,desvenlafaxine
8000028,dexamethasone (base)
8000114,dexamethasone phosphate
8000137,dexamethasone sodium phosphate
8000394,dexlansoprazole
8000162,dextroamphetamine
8000048,diazepam
8000082,diclofenac
8000180,diclofenac and misoprostol
8000198,digoxin
8000122,diltiazem
8000181,domperidone
8000246,donepezil
8000272,dorzolamide and timolol
8000163,doxazosin
8000117,doxycycline
8000345,drospirenone and ethinyl estradiol
8000375,duloxetine
8000330,dutasteride
8000118,enalapril
8000003,epinephrine
8000037,erythromycin
8000346,escitalopram
8000303,esomeprazole
8000398,esomeprazole and naproxen
8000213,estradiol
8000343,ethinyl estradiol and etonogestrel
8000119,ethinyl estradiol and levonorgestrel
8000334,ethinyl estradiol and norelgestromin
8000049,ethinyl estradiol and norethindrone
8000164,ethinyl estradiol and norgestimate
8000326,ezetimibe
8000165,felodipine
8000225,fenofibrate
8000127,fentanyl
8000166,finasteride
8000128,fluoxetine
8000091,flurazepam
8000173,fluticasone
8000279,fluticasone and salmeterol
8000055,folic acid
8000332,fosinopril
8000057,furosemide
8000104,fusidic acid
8000200,gabapentin
8000396,galantamine
8000139,gliclazide
8000115,glyburide
8000084,haloperidol
8000031,hydrochlorothiazide
8000284,hydrochlorothiazide and irbesartan
8000201,hydrochlorothiazide and lisinopril
8000229,hydrochlorothiazide and losartan
8000382,hydrochlorothiazide and olmesartan
8000262,hydrochlorothiazide and quinapril
8000368,hydrochlorothiazide and ramipril
8000301,hydrochlorothiazide and telmisartan
8000092,hydrochlorothiazide and triamterene
8000286,hydrochlorothiazide and valsartan
8000777,hydrocodone
8000781,hydrocodone and phenylephrine
8000778,hydrocodone and phenyltoloxamine
8000008,hydrocortisone
8000106,hydromorphone
8000012,hydroxychloroquine
8000009,hydroxyzine
8000043,ibuprofen
8000097,indapamide
8000321,indapamide and perindopril
8000085,indomethacin
8000307,insulin aspart
8000353,insulin detemir
8000317,insulin glargine
8000168,insulin isophane human
8000787,insulin lispro
8000202,ipratropium
8000259,irbesartan
8000203,isosorbide mononitrate
8000169,ketorolac
8000214,lamotrigine
8000215,lansoprazole
8000244,latanoprost
8000328,levetiracetam
8000001,levothyroxine
8000387,lisdexamfetamine
8000140,lisinopril
8000204,lithium (ion)
8000041,lithium carbonate
8000109,lorazepam
8000216,losartan
8000018,medroxyprogesterone
8000290,meloxicam
8000782,meperidine
8000183,mesalazine
8000184,metformin
8000390,metformin and sitagliptin
8000285,methadone
8000217,methotrexate
8000010,methylphenidate
8000130,metoclopramide
8000063,metoprolol
8000038,metronidazole
8000205,minocycline
8000298,mirtazapine
8000148,mometasone
8000261,montelukast
8000071,morphine
