drug_code,unit_of_presentation,uop_size,uop_unit_of_measure,calculation,,,
69790,vial,10,mL,N,,,
73683,cartridge,3,mL,N,,,
93005,cartridge,3,mL,N,,,
77967,pen,3,mL,N,,,
93006,pen,3,mL,N,,,
71180,vial,3,mL,Y,,,
66036,vial,3,mL,Y,,,
86000,syringe,3,mL,Y,,,
66036,vial,9,mL,Y,,,
71180,vial,18,mL,Y,,,
66036,vial,18,mL,Y,,,
69271,vial,3,mL,Y,,,
19798,unit dose vial,1,mL,Y,,,
19798,unit dose vial,2,mL,Y,,,
50443,bottle,20,mL,N,,,
50551,unit dose vial,1,mL,Y,,,
50552,unit dose vial,2,mL,Y,,,
43176,unit dose vial,1,mL,Y,,,
43176,unit dose vial,2,mL,Y,,,
62586,bottle,20,mL,N,,,
62586,unit dose vial,1,mL,Y,,,
62586,unit dose vial,2,mL,Y,,,
50824,unit dose vial,2,mL,Y,,,
16947,bottle,20,mL,N,,,
67766,unit dose vial,2,mL,Y,,,
43798,unit dose vial,2,mL,Y,,,
50442,unit dose vial,2,mL,Y,,,
69797,vial,3,mL,Y,,,
69797,vial,6,mL,Y,,,
60208,vial,20,mL,Y,,,
60218,vial,10,mL,Y,,,
60218,vial,20,mL,Y,,,
17277,ampoule,1,mL,Y,,,
89827,ampoule,1,mL,Y,,,
17954,ampoule,20,mL,Y,,,
89828,ampoule,20,mL,Y,,,
17276,ampoule,5,mL,Y,,,
89829,ampoule,5,mL,Y,,,
62344,vial,2,mL,Y,,,
69787,ampoule,1,mL,Y,,,
88422,ampoule,1,mL,Y,,,
88423,ampoule,2,mL,Y,,,
4232,ampoule,1,mL,Y,,,
4806,ampoule,1,mL,Y,,,
4233,ampoule,1,mL,Y,,,
3721,ampoule,2,mL,N,,,
67132,ampoule,2,mL,N,,,
87102,ampoule,2,mL,Y,,,
87173,ampoule,2,mL,N,,,
15756,ampoule,1,mL,Y,,,
15757,ampoule,2,mL,Y,,,
49026,vial,5,mL,Y,,,
49026,vial,10,mL,Y,,,
68717,vial,5,mL,Y,,,
68717,vial,10,mL,Y,,,
12650,vial,2,mL,Y,,,
87402,vial,1,mL,Y,,,
87402,vial,2,mL,Y,,,
12664,ampoule,2,mL,Y,,,
12664,ampoule,5,mL,Y,,,
12664,ampoule,10,mL,Y,,,
12664,ampoule,20,mL,Y,,,
12664,vial,10,mL,Y,,,
12664,vial,20,mL,Y,,,
63983,ampoule,2,mL,Y,,,
63983,vial,5,mL,Y,,,
63983,vial,10,mL,Y,,,
63983,vial,20,mL,Y,,,
63983,vial,50,mL,Y,,,
86987,ampoule,2,mL,Y,,,
86987,ampoule,10,mL,Y,,,
87103,ampoule,2,mL,Y,,,
87103,ampoule,10,mL,Y,,,
12218,vial,25,mL,N,,,
4431,ampoule,2,mL,Y,,,
4431,ampoule,4,mL,Y,,,
4910,ampoule,2,mL,Y,,,
4910,ampoule,4,mL,Y,,,
4910,syringe,2,mL,Y,,,
4910,syringe,4,mL,Y,,,
84533,vial,2,mL,Y,,,
84533,vial,4,mL,Y,,,
84539,vial,25,mL,N,,,
86837,ampoule,2,mL,Y,,,
86837,ampoule,4,mL,Y,,,
86984,ampoule,2,mL,N,,,
16902,ampoule,1,mL,Y,,,
16902,vial,5,mL,Y,,,
49967,vial,1,mL,Y,,,
49967,vial,5,mL,Y,,,
16901,vial,5,mL,Y,,,
49965,vial,5,mL,Y,,,
10026,ampoule,1,mL,Y,,,
85088,vial,1,mL,Y,,,
89112,vial,1,mL,Y,,,
89112,vial,10,mL,Y,,,
63112,vial,1,mL,Y,,,
63111,vial,5,mL,Y,,,
5936,vial,1,mL,Y,,,
5936,vial,5,mL,Y,,,
5936,vial,50,mL,N,,,
18323,vial,1,mL,Y,,,
18323,vial,5,mL,Y,,,
18323,vial,10,mL,Y,,,
18323,vial,50,mL,N,,,
86845,vial,1,mL,Y,,,
86845,vial,5,mL,Y,,,
86845,vial,50,mL,N,,,
94804,ampoule,1,mL,Y,,,
94804,ampoule,10,mL,Y,,,
68787,vial,10,mL,N,,,
5937,ampoule,1,mL,Y,,,
18315,ampoule,1,mL,Y,,,
94803,ampoule,1,mL,Y,,,
18324,vial,1,mL,Y,,,
18324,vial,5,mL,Y,,,
18324,vial,10,mL,Y,,,
18324,vial,50,mL,N,,,
44090,ampoule,1,mL,Y,,,
63447,vial,1,mL,Y,,,
68945,vial,1,mL,Y,,,
68945,vial,2,mL,Y,,,
87600,vial,1,mL,Y,,,
92801,vial,1,mL,Y,,,
67933,vial,1,mL,Y,,,
92310,vial,1,mL,Y,,,
67176,vial,1,mL,Y,,,
87417,vial,1,mL,Y,,,
19667,vial,1,mL,Y,,,
80771,vial,1,mL,Y,,,
441,vial,5,mL,Y,,,
19409,vial,2,mL,Y,,,
19409,vial,10,mL,Y,,,
19409,vial,30,mL,Y,,,
67481,vial,2,mL,Y,,,
67481,vial,10,mL,Y,,,
67481,vial,30,mL,Y,,,
7357,ampoule,5,mL,Y,,,
75326,vial,5,mL,Y,,,
7425,bag,100,mL,Y,,,
10871,bag,100,mL,Y,,,
10871,bag,300,mL,Y,,,
10705,vial,10,mL,Y,,,
10706,vial,10,mL,Y,,,
12697,ampoule,2,mL,Y,,,
12697,ampoule,5,mL,Y,,,
13063,vial,2,mL,Y,,,
13063,vial,5,mL,Y,,,
9398,ampoule,2,mL,Y,,,
9398,ampoule,5,mL,Y,,,
91579,vial,2,mL,Y,,,
91579,vial,5,mL,Y,,,
43094,vial,2,mL,Y,,,
74194,vial,2,mL,Y,,,
43104,ampoule,5,mL,Y,,,
43078,syringe,0.5,mL,N,,,
84675,syringe,0.5,mL,N,,,
1398,vial,10,mL,Y,,,
13410,ampoule,2,mL,Y,,,
1275,ampoule,5,mL,Y,,,
15482,vial,5,mL,Y,,,
15481,vial,1,mL,Y,,,
15481,vial,5,mL,Y,,,
85366,vial,1,mL,Y,,,
17234,vial,2,mL,Y,,,
17234,vial,4,mL,Y,,,
17234,ampoule,4,mL,Y,,,
18614,vial,2,mL,Y,,,
89326,bag,50,mL,Y,,,
1620,vial,2,mL,Y,,,
1620,vial,4,mL,Y,,,
1620,vial,6,mL,Y,,,
1620,vial,60,mL,Y,,,
18964,vial,2,mL,Y,,,
18964,vial,4,mL,Y,,,
18964,vial,6,mL,Y,,,
18964,vial,60,mL,Y,,,
87133,vial,2,mL,Y,,,
87133,vial,4,mL,Y,,,
87133,vial,6,mL,Y,,,
