drug_code,drug_identification_number,brand_name,status,history_date,comments
77009,2284529,PMS-ASA EC,Cancelled Post Market,2018-05-07,Not now in generation - leave for now
43155,2215187,CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL,Marketed,2005-11-09,Part of a kit.  DIN needs to be discontinued; keep on blacklist
97065,2480131,COVERGIRL TRUBLEND BASE BUSINESS SKIN PRIMER BASE POUR LA PEAU,Marketed,2018-12-11,Out of scope - to stay on Blacklist so as not to add into the release
8042,727520,HEPARIN LEO 100UNIT/ML,Marketed,1984-12-31,Dose form issue (should be solution for injection; used as a lock/flush)
3228,438898,FORMULE C34 HERBAGES NATURBEC LTÉE,Marketed,2007-08-10, Dose form issue no information in DPD low usage - to stay on Blacklist
85902,2373807,H.E.L.P. ACETATE BUFFER PH 4.85,Marketed,2012-03-09,Out of scope - to stay on Blacklist so as not to add into the release
3769,493392,RIMSO-50,Marketed,2018-10-31,Product D/C but still marketed status in DPD last expiry Oct 31 2019
3546,469203,FORMULE L2,Marketed,1979-12-31,Product problematic - brandname change not reflected in DPD and dose form issue no information in DPD and assume low usage
14491,2020793,SCLERODINE 6 INJECTION,Marketed,1977-12-31,Product D/C but still marketed status in DPD
72815,2248463,VIONEXUS NO-RINSE SPRAY,Marketed,2004-11-20,Hand antiseptic for professional use - out of scope 
71113,2246888,AVAGARD,Marketed,2003-07-02,Hand antiseptic for professional use - out of scope
64391,2240800,STERIGEL PLUS,Marketed,2014-03-20,Hand antiseptic for professional use - out of scope
72560,2248224,MANORAPID SYNERGY,Cancelled Post Market,2019-01-01,Hand antiseptic for professional use - out of scope
89891,2414252,SATINIQUE ANTI-DANDRUFF SHAMPOO,Cancelled Post Market,2017-11-09,Cancelled post market and has problematic strength - leave out
13600,1974548,MICRO I,Marketed,2006-06-17,TPN additive Out of scope. Keep on blacklist
96492,2474735,METHOTREXATE INJECTION BP,Marketed,2019-04-23,Needs UoP
96511,2474891,METHOTREXATE INJECTION BP,Marketed,2019-04-23,Needs UoP
6775,691623,BICARBONATE CONCENTRATE D17000,Marketed,2001-10-01,Out of scope. Haemodialysis
8587,774995,800 SODIUM BICARBONATE POWDER,Marketed,2001-10-01,Out of scope. Haemodialysis
13833,1905740,K + 45,Marketed,2001-10-01,Out of scope. Haemodialysis
37283,2221616,SODIUM BICARBONATE USP FOR HEMODIALYSIS D12276,Marketed,2002-01-28,Out of scope. Haemodialysis
73309,2248934,BICARBONATE CONCENTRATE B38,Marketed,2005-07-04,Out of scope. Haemodialysis
76654,2280884,HEMA BP-38,Marketed,2006-07-03,Out of scope. Haemodialysis
81095,2325586,BIBAG,Marketed,2016-01-27,Out of scope. Haemodialysis
81113,2325772,HEMACART,Marketed,2010-01-23,Out of scope. Haemodialysis
88829,2403498,BICART,Marketed,2016-04-05,Out of scope. Haemodialysis
88830,2403501,BICART,Marketed,2016-03-24,Out of scope. Haemodialysis
91307,2428601,BIFLEXY 900,Marketed,2016-08-08,Out of scope. Haemodialysis
57,50520,MINERALE LEGERE HUILE,Marketed,1951-12-31,UoP discussion
14042,1935321,LIGHT MINERAL OIL 100% NF,Marketed,1993-12-31,UoP discussion
