mp_code,mp_formal_name,changes
"00001694","XYLOCAINE JELLY 2% (lidocaine hydrochloride 20 mg per mL cutaneous gel) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001937","XYLOCARD (lidocaine hydrochloride 100 mg per 5 mL solution for injection ampoule) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001961","XYLOCAINE OINTMENT 5% (lidocaine 5 % cutaneous ointment) ASPEN PHARMACARE CANADA INC.","ADDED"
"00004723","PURINETHOL (mercaptopurine 50 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00010332","ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00010340","ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00012882","FLUOROURACIL INJECTION (fluorouracil 50 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"00035645","KEFLEX (cephalexin 250 mg per 5 mL oral suspension) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00037869","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA INC","ADDED"
"00040851","PMS-ASA (acetylsalicylic acid 325 mg oral tablet) PHARMASCIENCE INC","ADDED"
"00042676","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00065927","NEO-LARYNGOBIS (bismuth dipropylacetate 135 mg suppository) TEVA CANADA LIMITED","ADDED"
"00074454","LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % and flumethasone pivalate 0.02 % otic drops) PALADIN LABS INC","ADDED"
"00074462","LOCACORTEN VIOFORM (clioquinol 3 % and flumethasone pivalate 0.02 % cutaneous cream) PALADIN LABS INC","ADDED"
"00074500","VIOFORM HYDROCORTISONE (clioquinol 3 % and hydrocortisone 1 % cutaneous cream) PALADIN LABS INC","ADDED"
"00151866","OCTOCAINE HCL 2% EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED"
"00151874","OCTOCAINE HCL 2% EPINEPHRINE 1:50000 (epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED"
"00176176","HYDERGINE TABLETS, 1MG (ergoloid mesylates 1 mg oral tablet) STERIMAX INC","ADDED"
"00176192","FIORINAL-C 1/4 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg oral capsule) ARALEZ PHARMACEUTICALS CANADA INC","ADDED"
"00176206","FIORINAL-C 1/2 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg oral capsule) ARALEZ PHARMACEUTICALS CANADA INC","ADDED"
"00213071","COSMEGEN (dactinomycin 0.5 mg per vial powder for solution for injection) RECORDATI RARE DISEASES CANADA INC","ADDED"
"00225851","DALACIN C FLAVOURED GRANULES (clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution) PFIZER CANADA INC","mp_formal_name: ""DALACIN C FLAVOURED GRANULES (clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution) PFIZER CANADA INC"" -> ""DALACIN C FLAVOURED GRANULES (clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL oral solution) PFIZER CANADA INC"""
"00226327","FIORINAL (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg oral capsule) ARALEZ PHARMACEUTICALS CANADA INC","ADDED"
"00284106","XYLOCAINE 2% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.","ADDED"
"00287709","PROTYLOL CAP 10MG (dicyclomine hydrochloride 10 mg oral capsule) PRO DOC LIMITEE","Health_Canada_product_name: ""PROTYLOL CAP 10MG"" -> ""PROTYLOL""
mp_formal_name: ""PROTYLOL CAP 10MG (dicyclomine hydrochloride 10 mg oral capsule) PRO DOC LIMITEE"" -> ""PROTYLOL (dicyclomine hydrochloride 10 mg oral capsule) PRO DOC LIMITEE"""
"00294748","CALCIUM CHLORIDE INJECTION USP (calcium chloride 100 mg per mL solution for injection) PFIZER CANADA INC","ADDED"
"00297763","BICNU (carmustine 100 mg per vial powder for solution for injection with diluent solution) MARCAN PHARMACEUTICALS INC","ADDED"
"00328693","PRE-PEN (benzylpenicilloyl-polylysine 6e-05 m per amp solution for injection) ALK-ABELLO INC","DELETED"
"00330582","EFUDEX CRM 5% (fluorouracil 5 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C.","ADDED"
"00337757","TEVA-CLOXACILLIN (cloxacillin (cloxacillin sodium) 125 mg per 5 mL granules for oral solution) TEVA CANADA LIMITED","mp_formal_name: ""TEVA-CLOXACILLIN (cloxacillin (cloxacillin sodium) 125 mg per 5 mL granules for oral solution) TEVA CANADA LIMITED"" -> ""TEVA-CLOXACILLIN (cloxacillin (cloxacillin sodium) 125 mg per 5 mL oral solution) TEVA CANADA LIMITED"""
"00356557","FOLIC ACID TAB 25MG (folic acid 25 mg oral tablet) KRIPPS PHARMACY LTD.","ADDED"
"00358177","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per g ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00360414","CEENU (lomustine 100 mg oral capsule) BRISTOL-MYERS SQUIBB CANADA","ADDED"
"00360422","CEENU (lomustine 40 mg oral capsule) BRISTOL-MYERS SQUIBB CANADA","ADDED"
"00360430","CEENU (lomustine 10 mg oral capsule) BRISTOL-MYERS SQUIBB CANADA","ADDED"
"00364304","ISOCAINE HCL INJ 3% (mepivacaine hydrochloride 54 mg per 1.8 mL solution for injection cartridge) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED"
"00365351","VASELINE ORIGINAL PETROLEUM JELLY (white petrolatum 100 % cutaneous ointment) UNILEVER CANADA","ADDED"
"00375780","LIGNOSPAN STANDARD (epinephrine 18 mcg per 1.8 mL and lidocaine hydrochloride 36 mg per 1.8 mL solution for injection) SEPTODONT","ADDED"
"00375799","LIGNOSPAN FORTE (epinephrine (epinephrine bitartrate) 36 mcg per 1.8 mL and lidocaine hydrochloride 36 mg per 1.8 mL solution for injection) SEPTODONT","ADDED"
"00385484","XYLOCAINE JELLY 2% (lidocaine hydrochloride 20 mg per mL cutaneous gel) ASPEN PHARMACARE CANADA INC.","ADDED"
"00392618","MAGNESIUM SULFATE INJ 20% USP (magnesium sulfate 200 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"00393711","ISOCAINE HCL INJ 2% (corbadrine 0.05 mg per mL and mepivacaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED"
"00393746","PRILOCAINE HCL 4% EPINEPH 1:200000INJ (epinephrine 5 mcg per mL and prilocaine hydrochloride 40 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED"
"00419508","ENTROPHEN ECT 975MG (acetylsalicylic acid 975 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00422908","POLYTOPIC CREAM (gramicidin 0.25 mg per g and polymyxin b (polymyxin b sulfate) 10000 unit per g cutaneous cream) SANDOZ CANADA INCORPORATED","ADDED"
