ntp_code,ntp_formal_name,changes
"9012974","follitropin delta 36 mcg per 1.08 mL solution for injection cartridge","CHANGED"
"9003851","gefitinib 250 mg oral tablet","ADDED"
"9013038","carmustine 100 mg per vial powder for solution for injection with diluent solution","ADDED"
"9013131","follitropin alfa 450 unit per 0.75 mL solution for injection pen","ADDED"
"9005005","eribulin mesylate 0.5 mg per mL solution for injection","DELETED"
"9001200","paroxetine (paroxetine hydrochloride) 40 mg oral tablet","ADDED"
"9013187","lenvatinib (lenvatinib mesylate) 8 mg oral capsule","ADDED"
"9004053","lidocaine hydrochloride 0.72 % cutaneous gel","ADDED"
"9005116","hydroxocobalamin 5 g per vial powder for solution for injection","ADDED"
"9013208","lidocaine hydrochloride 1000 mg per 50 mL solution for injection vial","ADDED"
"9013223","manganese (manganese sulfate) 1 mg per 10 mL solution for injection vial","ADDED"
"9001544","lidocaine 5 % cutaneous ointment","ADDED"
"9003172","mitomycin 20 mg per vial powder for solution for injection","ADDED"
"9002240","acetylsalicylic acid 500 mg gastro-resistant tablet","ADDED"
"9006350","ribavirin 6 g per vial NA","DELETED"
"9001729","benzylpenicilloyl-polylysine 6e-05 m per amp solution for injection","DELETED"
"9006081","lenalidomide 2.5 mg oral capsule","ADDED"
"9005885","fluorouracil 0.5 % and salicylic acid 10 % cutaneous solution","ADDED"
"9013020","procainamide hydrochloride 1000 mg per 10 mL solution for injection vial","CHANGED"
"9013079","docetaxel 20 mg per 1 mL solution for injection vial","ADDED"
"9002203","ketoprofen 50 mg oral capsule","ADDED"
"9013001","lixisenatide 0.05 mg per mL solution for injection pre-filled pen","CHANGED"
"9003771","lidocaine 5 % cutaneous gel","ADDED"
"9004049","bacitracin zinc 500 unit per g and gramicidin 0.25 mg per g and lidocaine 50 mg per g and polymyxin b (polymyxin b sulfate) 10000 unit per g cutaneous ointment","ADDED"
"362d47da24577f335f2d84f27c957cbb","atropine sulfate 1 mg per 5 mL solution for injection syringe","CHANGED"
