tm_code,tm_formal_name,changes
"52a624241d4cc518b719672757fc515f","cinacalcet","CHANGED"
"8001864","naphazoline","ADDED"
"8001813","interferon alfa-2b and water","ADDED"
"e68f1afad6d6c767cad80eb5bd6afe48","nimodipine","CHANGED"
"8001866","petrolatum","ADDED"
"8001876","scopolamine","ADDED"
"8001695","antipyrine and benzocaine","ADDED"
"8001739","daratumumab","ADDED"
"8001691","allantoin and chloroxylenol","ADDED"
"8001756","docosanol","ADDED"
"11132a32e01a148874091fa148cdfa6e","abiraterone","CHANGED"
"8001796","hexylresorcinol and l-menthol","ADDED"
"1b06e4baab0ee4497b7a5bb061504e47","carbachol","CHANGED"
"cbebb33333dffc320481ec7c96c2ad52","auranofin","CHANGED"
"8001693","ammonium chloride and dextromethorphan and diphenhydramine","ADDED"
"8001771","ethinyl estradiol and ethynodiol","ADDED"
"8000936","ibuprofen and methocarbamol","ADDED"
"8001628","denosumab","CHANGED"
"8001713","camphor and glycol salicylate and l-menthol","ADDED"
"8001746","dextromethorphan and guaifenesin and menthol","ADDED"
"8001740","dasatinib","ADDED"
"8001835","levobunolol","ADDED"
"8001659","glycopyrrolate","CHANGED"
"8001551","afatinib","CHANGED"
"01f7f19cd9e00b7c8abd305ac1671e7d","cobimetinib","CHANGED"
"8001789","gold sodium thiomalate","ADDED"
"8000869","acetaminophen and methocarbamol","ADDED"
"8001289","methylprednisolone","DELETED"
"37fd05ebd0749cf6b7fcada0da5be619","gemfibrozil","CHANGED"
"8001848","menthol and pramoxine","ADDED"
"e86311d95854dac130af9609666beb33","alteplase and water","CHANGED"
"3c7a2fbfe863502f28a71c6cc3bc9af2","canakinumab","CHANGED"
"15a3ca20cc1ae7c92f77f9bd2380efcf","bevacizumab","CHANGED"
"acb8af885647d19f760bf01987644b0f","carfilzomib","CHANGED"
"c1eed466bb962615940efcacf8bde356","dequalinium","CHANGED"
"f981fd3c67340ce75f1c75be5760f077","eculizumab","CHANGED"
"8001845","magnesium sulfate","ADDED"
"8001019","bazedoxifene (bazedoxifene acetate) and conjugated estrogens","ADDED"
"8001594","bosutinib","CHANGED"
"8001735","corbadrine and mepivacaine","ADDED"
"8001816","ipilimumab","ADDED"
"8001587","bethanechol","CHANGED"
"8001176","cefepime","tm_status_effective_time: ""20180514"" -> ""20090319"""
"68ba43817426730cb38bb5c1cb9d3e3d","podophyllotoxin","CHANGED"
"8001701","benoxinate hydrochloride and fluorescein","ADDED"
"8001794","gramicidin and polymyxin b","ADDED"
"8001727","chromic chloride and cupric chloride and manganese chloride and zinc chloride","ADDED"
"4a09b3a8552105810368cbf52100627e","deferiprone","CHANGED"
"8001561","alteplase","CHANGED"
"8001584","besifloxacin","CHANGED"
"8001715","cantharidin and podophyllin and salicylic acid","ADDED"
"8001751","dimethicone and white petrolatum","ADDED"
"8001782","follitropin alfa and lutropin alfa","ADDED"
"8001774","filgrastim","ADDED"
"8001881","white petrolatum and zinc oxide","ADDED"
"8001595","brentuximab vedotin","CHANGED"
"8001654","flutamide","CHANGED"
"00b55318ed3d163ca9ab9e0bf5659491","dornase alfa","CHANGED"
"8001562","alteplase and water","CHANGED"
"8001623","dabrafenib","CHANGED"
"8001557","alemtuzumab","CHANGED"
"9051690d7dc9a57dd532825c0f43f68f","atezolizumab","CHANGED"
"8001878","sodium iodide","ADDED"
"8001593","bortezomib","CHANGED"
"8001678","penicillamine","CHANGED"
"8001732","clofarabine","ADDED"
"8001565","anagrelide","CHANGED"
"67b492da7ab6ef5d8501ff79cd3ca301","liothyronine","CHANGED"
"8001829","laronidase","ADDED"
"8001576","basiliximab","CHANGED"
"8001850","mercaptopurine","ADDED"
"50c18f4d3e835a7ce821d69816bf26b7","agalsidase alfa","CHANGED"
"8001558","alglucosidase alfa","CHANGED"
"8001645","eribulin","CHANGED"
"eb5233b08a3c06842f484187b9cc7bd9","cabazitaxel","CHANGED"
"8001795","hexylresorcinol","ADDED"
"8001613","ceritinib","CHANGED"
"8001843","lutropin alfa","ADDED"
"8001699","bacitracin and lidocaine and polymyxin b","ADDED"
"dc1a76872defb09c210a0be2cdb62b3d","ceritinib","CHANGED"
