mp_code,mp_formal_name,changes
"00362158","APO DIAZEPAM TAB 5MG (diazepam 5 mg oral tablet) APOTEX INC","mp_formal_name: ""APO DIAZEPAM TAB 5MG (diazepam 5 mg oral tablet) APOTEX INC"" -> ""APO-DIAZEPAM (diazepam 5 mg oral tablet) APOTEX INC"""
"00405329","APO DIAZEPAM TAB 2MG (diazepam 2 mg oral tablet) APOTEX INC","mp_formal_name: ""APO DIAZEPAM TAB 2MG (diazepam 2 mg oral tablet) APOTEX INC"" -> ""APO-DIAZEPAM (diazepam 2 mg oral tablet) APOTEX INC"""
"00405337","APO DIAZEPAM TAB 10MG (diazepam 10 mg oral tablet) APOTEX INC","mp_formal_name: ""APO DIAZEPAM TAB 10MG (diazepam 10 mg oral tablet) APOTEX INC"" -> ""APO-DIAZEPAM (diazepam 10 mg oral tablet) APOTEX INC"""
"00514012","VOLTAREN TAB 50MG (diclofenac sodium 50 mg gastro-resistant tablet) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN TAB 50MG (diclofenac sodium 50 mg gastro-resistant tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN (diclofenac sodium 50 mg gastro-resistant tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00590827","VOLTAREN SR TAB 100MG (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SR TAB 100MG (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN SR (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00632724","VOLTAREN SUP 50MG (diclofenac sodium 50 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SUP 50MG (diclofenac sodium 50 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN (diclofenac sodium 50 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00632732","VOLTAREN SUP 100MG (diclofenac sodium 100 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SUP 100MG (diclofenac sodium 100 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN (diclofenac sodium 100 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00782459","VOLTAREN SR 75 TAB (diclofenac sodium 75 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SR 75 TAB (diclofenac sodium 75 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN SR (diclofenac sodium 75 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
"01926799","IMOVANE 7.5 - TAB 7.5MG (zopiclone 7.5 mg oral tablet) SANOFI-AVENTIS CANADA INC","mp_formal_name: ""IMOVANE 7.5 - TAB 7.5MG (zopiclone 7.5 mg oral tablet) SANOFI-AVENTIS CANADA INC"" -> ""IMOVANE (zopiclone 7.5 mg oral tablet) SANOFI-AVENTIS CANADA INC"""
"01966367","METHOXISAL-C 1/4 (acetylsalicylic acid 325 mg and codeine phosphate 16.2 mg and methocarbamol 400 mg oral tablet) TEVA CANADA LIMITED","DELETED"
"01966375","METHOXISAL-C 1/2 (acetylsalicylic acid 325 mg and codeine phosphate 32.4 mg and methocarbamol 400 mg oral tablet) TEVA CANADA LIMITED","DELETED"
"02023695","ATROPINE (atropine sulfate 1 % ophthalmic drops) PHARMA STULLN INC.","ADDED"
