ntp_code,ntp_formal_name,changes
"9010880","nitroglycerin 100 mg per 10 mL solution for injection vial","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"627d54293a8925220894f8209e86bca3","levofloxacin 240 mg per 2.4 mL inhalation solution unit dose vial","ADDED"
"9013325","rocuronium bromide 50 mg per 5 mL solution for injection vial","ntp_status_effective_time: ""19951231"" -> ""20081024"""
"9005130","ensulizole 3 % cutaneous emulsion","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9000965","ketorolac tromethamine 30 mg per mL solution for injection","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9000819","ibuprofen 40 mg per mL oral suspension","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9009350","estradiol 0.1 % transdermal gel","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9000145","diazepam 20 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9006236","digoxin 1 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9006228","morphine sulfate 2 mg per mL solution for injection 50 mL vial","ntp_status_effective_time: ""20170803"" -> ""20181130"""
"9009620","furosemide 40 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9000462","diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet","ADDED"
"9010882","nitroglycerin 500 mg per 10 mL solution for injection vial","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9013032","alprostadil 20 mcg per vial powder for solution for injection","ADDED"
"9006562","ethinyl estradiol 35 mcg per 24 hours and norelgestromin 20 mcg per 24 hours transdermal patch","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9000985","clarithromycin 500 mg prolonged-release oral tablet","ntp_status_effective_time: ""20020522"" -> ""20140903"""
"9012508","levofloxacin 240 mg per 2.4 mL inhalation solution unit dose ampoule","DELETED"
"540ff1461763ad728b3dcb21d69a0650","ropivacaine hydrochloride 40 mg per 20 mL solution for injection ampoule","ADDED"
"9006272","ranitidine (ranitidine hydrochloride) 100 mg per 2 mL solution for injection vial","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9000668","diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet","ADDED"
"9009384","ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 100 mcg oral tablet","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9005927","everolimus 7.5 mg oral tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20160405"" -> ""20180709"""
"2c4d601988bc3b996465a324d3b732b8","sodium polystyrene sulfonate 250 mg per mL NA","ADDED"
"9012961","dobutamine (dobutamine hydrochloride) 5000 mg per 20 mL solution for injection vial","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"9012954","denosumab 204 mg per 1.7 mL solution for injection syringe","ntp_status_effective_time: ""20181101"" -> ""20190102"""
"d287174e9f24282f29cdf87eaf642256","ropivacaine hydrochloride 20 mg per 10 mL solution for injection ampoule","ADDED"
