"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","ntp_dosage_form_fr"
"40003","mouthwash","5","DENTAL","Dentaire","182","MOUTHWASH","Rince-bouche","solution pour bain de bouche"
"40018","powder for prolonged-release suspension for injection","65","SUBCUTANEOUS","Sous-cutanée","32-118","KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Trousse,Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40154","buccal/sublingual film","3-66","BUCCAL, SUBLINGUAL","Buccale,Sublinguale","167","FILM, SOLUBLE","Pellicule,soluble","film buccogingival/sublingual"
"40153","dispersion for injection","22","INTRAMUSCULAR","Intramusculaire","184","DISPERSION","Dispersion","dispersion injectable"
"40017","powder for solution for injection","22-118","INTRAMUSCULAR, INTRAGLANDULAR","Intramusculaire,Intraglandulaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40151","sublingual film","66","SUBLINGUAL","Sublinguale","167","FILM, SOLUBLE","Pellicule, soluble","film sublingual"
"40001","solution for injection","22-45-49-65","INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40123","shampoo","70","TOPICAL","Topique","59","SHAMPOO","Shampoing","shampoing"
"40007","buccal tablet","3","BUCCAL","Buccale","85","TABLET","Comprimé","comprimé buccogingival"
"40007","buccal tablet","3","BUCCAL","Buccale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)","comprimé buccogingival"
"40007","buccal tablet","3-66","BUCCAL, SUBLINGUAL","Buccale,Sublinguale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)","comprimé buccogingival"
"40007","buccal tablet","66","SUBLINGUAL","Sublinguale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)","comprimé buccogingival"
"40079","chewable tablet","56","ORAL","Orale","151","TABLET (CHEWABLE)","Comprimé (à mâcher)","comprimé à croquer"
"40108","cutaneous cream","70","TOPICAL","Topique","9","CREAM","Crème","crème cutanée"
"40110","cutaneous drops","70","TOPICAL","Topique","12","DROPS","Gouttes","cutaneous drops"
"40111","cutaneous emulsion","70","TOPICAL","Topique","19","EMULSION","Émulsion","émulsion cutanée"
"40107","cutaneous foam","70","TOPICAL","Topique","166","AEROSOL, FOAM","Aérosol, mousse","mousse cutanée"
"40112","cutaneous gel","70","TOPICAL","Topique","114","GEL","Gel","gel cutané"
"40112","cutaneous gel","70","TOPICAL","Topique","26","JELLY","","gel cutané"
"40112","cutaneous gel","104","TOPICAL (HOUSEHOLD)","Topique (Maison)","114","GEL","Gel","gel cutané"
"40113","cutaneous liquid","70","TOPICAL","Topique","34","LIQUID","Liquide","liquide cutané"
"40116","cutaneous ointment","70","TOPICAL","Topique","43","OINTMENT","Pommade","pommade cutanée"
"40118","cutaneous paste","70","TOPICAL","Topique","52","PASTE","Pâte","pâte cutanée"
"40119","cutaneous patch","70","TOPICAL","Topique","145","PATCH","Timbre","timbre cutané"
"40121","cutaneous powder","70","TOPICAL","Topique","55","POWDER","Poudre","poudre pour application cutanée"
"40124","cutaneous solution","70","TOPICAL","Topique","134","SOLUTION","Solution","solution pour application cutanée"
"40124","cutaneous solution","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)","34","LIQUID","Liquide","solution pour application cutanée"
"40124","cutaneous solution","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)","134","SOLUTION","Solution","solution pour application cutanée"
"40124","cutaneous solution","107","TOPICAL (HOSPITAL/HC FACILITIES)","Topique (Hôpitaux, établissements de soins de santé)","134","SOLUTION","Solution","solution pour application cutanée"
"40124","cutaneous solution","104","TOPICAL (HOUSEHOLD)","Topique (Maison)","34","LIQUID","Liquide","solution pour application cutanée"
"40124","cutaneous solution","104","TOPICAL (HOUSEHOLD)","Topique (Maison)","134","SOLUTION","Solution","solution pour application cutanée"
"40106","cutaneous spray","70","TOPICAL","Topique","2","AEROSOL","Aérosol","vaporisation cutanée"
"40106","cutaneous spray","70","TOPICAL","Topique","98","SPRAY","Pulvérisation","vaporisation cutanée"
"40106","cutaneous spray","70","TOPICAL","Topique","158","SPRAY, METERED DOSE","Pulvérisation, à dose mesurée","vaporisation cutanée"
"40106","cutaneous spray","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)","98","SPRAY","Pulvérisation","vaporisation cutanée"
"40106","cutaneous spray","104","TOPICAL (HOUSEHOLD)","Topique (Maison)","98","SPRAY","Pulvérisation","vaporisation cutanée"
"40126","cutaneous stick","70","TOPICAL","Topique","76","STICK","Bâton","bâton pour application cutanée"
"40127","cutaneous suspension","70","TOPICAL","Topique","79","SUSPENSION","Suspension","suspension pour application cutanée"
"40010","dental gel","5","DENTAL","Dentaire","114","GEL","Gel","gel dentaire"
"40011","dental solution","5","DENTAL","Dentaire","34","LIQUID","Liquide","solution dentaire"
"40011","dental solution","5","DENTAL","Dentaire","134","SOLUTION","Solution","solution dentaire"
"40084","dispersible oral tablet","56","ORAL","Orale","156","TABLET FOR SUSPENSION","Comprimé pour suspension","comprimé oral dispersible"
"40109","dressing","70","TOPICAL","Topique","13","DRESSING","Pansement","compresse"
"40082","effervescent oral tablet","56","ORAL","Orale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)","comprimé oral effervescent"
"40142","effervescent vaginal tablet","74","VAGINAL","Vaginale","165","VAGINAL TABLET, EFFERVESCENT","Comprimé vaginal, effervescent","comprimé vaginal effervescent"
"40015","emulsion for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22","INTRAMUSCULAR","Intramusculaire","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","49","INTRAVENOUS","Intraveineuse","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40015","emulsion for injection","65","SUBCUTANEOUS","Sous-cutanée","19","EMULSION","Émulsion","émulsion injectable"
"40033","endocervical gel","95","INTRACERVICAL","Intracervicale","114","GEL","Gel","gel endocervical"
"40037","endotracheopulmonary instillation","45","INTRATRACHEAL","Intratrachéale","134","SOLUTION","Solution","instillation endotrachéobronchique"
"40037","endotracheopulmonary instillation","45","INTRATRACHEAL","Intratrachéale","79","SUSPENSION","Suspension","instillation endotrachéobronchique"
"40100","enema","62","RECTAL","Rectale","85","TABLET","Comprimé","enema"
"40004","gargle/mouthwash","3","BUCCAL","Buccale","42","MOUTHWASH/GARGLE","Rince-bouche/Gargarisme","solution pour gargarisme/bain de bouche"
"40004","gargle/mouthwash","56","ORAL","Orale","42","MOUTHWASH/GARGLE","Rince-bouche/Gargarisme","solution pour gargarisme/bain de bouche"
"40048","gastro-resistant capsule","108-56","NASOGASTRIC, ORAL","NASOGASTRIQUE,Orale","137","CAPSULE (DELAYED RELEASE)","Capsule (à libération retardée)","capsule gastrorésistante"
"40048","gastro-resistant capsule","56","ORAL","Orale","137","CAPSULE (DELAYED RELEASE)","Capsule (à libération retardée)","capsule gastrorésistante"
"40048","gastro-resistant capsule","56","ORAL","Orale","14","CAPSULE (ENTERIC-COATED)","Capsule (entérosoluble)","capsule gastrorésistante"
"40071","gastro-resistant granules for oral suspension","56","ORAL","Orale","148","GRANULES FOR SUSPENSION, DELAYED RELEASE","Granules pour suspension, à libération retardée","granulés gastrorésistants pour suspension orale"
"40081","gastro-resistant tablet","56","ORAL","Orale","109","TABLET (DELAYED-RELEASE)","Comprimé (à libération retardée)","comprimé gastrorésistant"
"40081","gastro-resistant tablet","56","ORAL","Orale","17","TABLET (ENTERIC-COATED)","Comprimé (entérosoluble)","comprimé gastrorésistant"
"40064","oral solution","56","ORAL","Orale","163","GRANULES FOR SOLUTION","Granules pour solution","solution orale"
"40068","granules for oral suspension","56","ORAL","Orale","53","GRANULES","Granules","granulés pour suspension orale"
"40101","implant","65","SUBCUTANEOUS","Sous-cutanée","30","IMPLANT","Implant","implant"
"40025","inhalation powder","29","INHALATION","Inhalation","1-55","METERED-DOSE AEROSOL, POWDER","Aérosol à dose mesurée,Poudre","poudre pour inhalation"
"40025","inhalation powder","29","INHALATION","Inhalation","55","POWDER","Poudre","poudre pour inhalation"
"40025","inhalation powder","29","INHALATION","Inhalation","153","POWDER (METERED DOSE)","Poudre (à dose mesurée)","poudre pour inhalation"
"40025","inhalation powder","29-56","INHALATION, ORAL","Inhalation,Orale","55","POWDER","Poudre","poudre pour inhalation"
"40022","inhalation powder capsule","29","INHALATION","Inhalation","5","CAPSULE","Capsule","poudre pour inhalation en capsule"
"40031","nebulizer solution","29","INHALATION","Inhalation","134","SOLUTION","Solution","solution pour inhalation par nébuliseur"
"40027","inhalation solution","29","INHALATION","Inhalation","88","TINCTURE","Teinture","solution à inhaler"
"40027","inhalation solution","29-70","INHALATION, TOPICAL","Inhalation,Topique","88","TINCTURE","Teinture","solution à inhaler"
"40024","inhalation vapour (liquid)","29","INHALATION","Inhalation","34","LIQUID","Liquide","liquide pour inhalation par vapeur"
"40034","intestinal gel","100","INTRAINTESTINAL (UPPER)","Intraintestinale (supérieur)","114","GEL","Gel","gel intestinal"
"40038","intrauterine delivery system","48","INTRAUTERINE","Intra-utérine","130","INSERT (EXTENDED-RELEASE)","Insert (À libération prolongée)","système de diffusion intra-utérin"
"40041","intravesical solution","96","INTRAVESICAL","Intravésicale","134","SOLUTION","Solution","solution intravésicale"
"40041","intravesical solution","72","URETHRAL","Urétrale","134","SOLUTION","Solution","solution intravésicale"
"40042","intravitreal implant","80","INTRAVITREAL","Intravitreuse","30","IMPLANT","Implant","implant vitréen"
"40035","irrigation solution","33","INTRAPERITONEAL","Intrapéritonéale","34","LIQUID","Liquide","solution pour irrigation"
"40035","irrigation solution","36","IRRIGATION","Irrigation","34","LIQUID","Liquide","solution pour irrigation"
"40035","irrigation solution","36","IRRIGATION","Irrigation","134","SOLUTION","Solution","solution pour irrigation"
"40006","kit","3","BUCCAL","Buccale","32","KIT","Trousse","kit"
"40006","kit","5","DENTAL","Dentaire","32","KIT","Trousse","kit"
"40006","kit","22","INTRAMUSCULAR","Intramusculaire","32","KIT","Trousse","kit"
"40006","kit","56","ORAL","Orale","32","KIT","Trousse","kit"
"40006","kit","62","RECTAL","Rectale","32","KIT","Trousse","kit"
"40006","kit","70","TOPICAL","Topique","32","KIT","Trousse","kit"
"40113","cutaneous liquid","70","TOPICAL","Topique","174","OIL","Huile","liquide cutané"
"40114","lotion","70","TOPICAL","Topique","36","LOTION","Lotion","lotion"
"40114","lotion","107","TOPICAL (HOSPITAL/HC FACILITIES)","Topique (Hôpitaux, établissements de soins de santé)","36","LOTION","Lotion","lotion"
"40114","lotion","104","TOPICAL (HOUSEHOLD)","Topique (Maison)","36","LOTION","Lotion","lotion"
"40073","lozenge","56","ORAL","Orale","39","LOZENGE","Pastille","pastille"
"40130","medicated sponge","107","TOPICAL (HOSPITAL/HC FACILITIES)","Topique (Hôpitaux, établissements de soins de santé)","63","SPONGE","Éponge","éponge médicamenteuse"
