pseudodin,drug_code,unit_of_presentation,uop_size_amount,uop_size_unit,unit_of_presentation_fr
"77700013","9398","ampoule","2","mL","ampoule"
"77700014","9398","ampoule","5","mL","ampoule"
"77700015","10871","bag","100","mL","sac"
"77700016","10871","bag","300","mL","sac"
"77700022","15481","vial","1","mL","fiole"
"77700023","15481","vial","5","mL","fiole"
"77700024","16902","ampoule","1","mL","ampoule"
"77700025","16902","vial","5","mL","fiole"
"77700058","49026","vial","5","mL","fiole"
"77700059","49026","vial","10","mL","fiole"
"77700065","60218","vial","10","mL","fiole"
"77700066","60218","vial","20","mL","fiole"
"77700067","61553","tube","0.5","mL","tube"
"77700068","61553","tube","1","mL","tube"
"77700069","61553","tube","1.5","mL","tube"
"77700070","61553","tube","3","mL","tube"
"77700071","61553","tube","4","mL","tube"
"77700080","66036","vial","3","mL","fiole"
"77700081","66036","vial","9","mL","fiole"
"77700082","66036","vial","18","mL","fiole"
"77700086","68717","vial","5","mL","fiole"
"77700087","68717","vial","10","mL","fiole"
"77700088","68945","vial","1","mL","fiole"
"77700089","68945","vial","2","mL","fiole"
"77700092","69797","vial","3","mL","fiole"
"77700093","69797","vial","6","mL","fiole"
"77700094","71180","vial","3","mL","fiole"
"77700095","71180","vial","18","mL","fiole"
"77700123","89112","vial","1","mL","fiole"
"77700124","89112","vial","10","mL","fiole"
"77700131","91579","vial","2","mL","fiole"
"77700132","91579","vial","5","mL","fiole"
"77700150","12697","ampoule","2","mL","ampoule"
"77700151","12697","ampoule","5","mL","ampoule"
"77700157","13063","vial","2","mL","fiole"
"77700158","13063","vial","5","mL","fiole"
"77700167","49967","vial","1","mL","fiole"
"77700168","49967","vial","5","mL","fiole"
"77700169","86244","vial","4","mL","fiole"
"77700170","86244","vial","8","mL","fiole"
"77700199","19409","vial","2","mL","fiole"
"77700200","19409","vial","10","mL","fiole"
"77700201","19409","vial","30","mL","fiole"
"77700202","67481","vial","2","mL","fiole"
"77700203","67481","vial","10","mL","fiole"
"77700204","67481","vial","30","mL","fiole"
"77700207","70586","bag","250","mL","sac"
"77700208","70586","bottle","250","","bouteille"
"77700211","940","ampoule","1","mL","ampoule"
"77700212","940","ampoule","30","mL","ampoule"
"77700226","18964","vial","2","mL","fiole"
"77700227","18964","vial","4","mL","fiole"
"77700228","18964","vial","60","mL","fiole"
"77700229","18964","vial","6","mL","fiole"
"77700230","87133","vial","2","mL","fiole"
"77700231","87133","vial","4","mL","fiole"
"77700232","87133","vial","6","mL","fiole"
"77700233","49612","vial","120","mL","fiole"
"77700234","49612","vial","60","mL","fiole"
"77700235","49605","vial","2","mL","fiole"
"77700236","49605","vial","4","mL","fiole"
"77700237","49605","vial","6","mL","fiole"
"77700238","1620","vial","2","mL","fiole"
"77700239","1620","vial","4","mL","fiole"
"77700240","1620","vial","60","mL","fiole"
"77700241","1620","vial","6","mL","fiole"
"77700242","36481","vial","10","mL","fiole"
"77700243","36481","vial","1","mL","fiole"
"77700244","36480","vial","1","mL","fiole"
"77700250","5936","vial","1","mL","fiole"
