drug_code,drug_identification_number,mp_formal_name,ntp_formal_name,ntp_type,ntp_code,Entry.type,Change.Plan,mp_formal_name_fr,ntp_formal_name_fr
74243,2257238,LINESSA 28 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet) ASPEN PHARMACARE CANADA INC.,desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet,Comb,9008749,MAI Comp,,LINESSA 28 (désogestrel 100 mcg et estradiol 25 mcg comprimé oral avec désogestrel 125 mcg et estradiol 25 mcg comprimé oral avec désogestrel 150 mcg et éthinylestradiol 25 mcg comprimé oral avec lactose comprimé oral) ASPEN PHARMACARE CANADA INC.,désogestrel 100 mcg et estradiol 25 mcg comprimé oral avec désogestrel 125 mcg et estradiol 25 mcg comprimé oral avec désogestrel 150 mcg et éthinylestradiol 25 mcg comprimé oral avec lactose comprimé oral
75841,2272903,LINESSA 21 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet) ASPEN PHARMACARE CANADA INC.,desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet,Comb,9008750,MAI Comp,,LINESSA 21 (désogestrel 100 mcg et estradiol 25 mcg comprimé oral avec désogestrel 125 mcg et estradiol 25 mcg comprimé oral avec désogestrel 150 mcg et éthinylestradiol 25 mcg comprimé oral) ASPEN PHARMACARE CANADA INC.,désogestrel 100 mcg et estradiol 25 mcg comprimé oral avec désogestrel 125 mcg et estradiol 25 mcg comprimé oral avec désogestrel 150 mcg et éthinylestradiol 25 mcg comprimé oral
14355,2042479,MARVELON 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) MERCK CANADA INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9008752,Inact Comp,,MARVELON 28 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) MERCK CANADA INC,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
80272,2317206,APRI 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) TEVA CANADA LIMITED,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9008752,Inact Comp,,APRI 28 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) TEVA CANADA LIMITED,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
88165,2396610,FREYA 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) MYLAN PHARMACEUTICALS ULC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9008752,Inact Comp,,FREYA 28 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) MYLAN PHARMACEUTICALS ULC,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
89491,2410257,MIRVALA 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) APOTEX INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9008752,Inact Comp,,MIRVALA 28 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) APOTEX INC,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
90216,2417464,RECLIPSEN 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) ACTAVIS PHARMA COMPANY,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9008752,Inact Comp,,RECLIPSEN 28 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) ACTAVIS PHARMA COMPANY,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
77558,2290308,CYESTRA-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) PALADIN LABS INC,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA,9008629,Str - Unit,,CYESTRA-35 (acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral) PALADIN LABS INC,acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral
79517,2309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) TEVA CANADA LIMITED,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA,9008629,Str - Unit,,TEVA-CYPROTERONE/ETHINYL ESTRADIOL  (acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral) TEVA CANADA LIMITED,acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral
90968,2425017,RAN-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA,9008629,Str - Unit,,RAN-CYPROTERONE/ETHINYL ESTRADIOL (acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral) RANBAXY PHARMACEUTICALS CANADA INC.,acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral
92104,2436736,CLÉO-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) ALTIUS HEALTHCARE INC,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA,9008629,Str - Unit,,CLÉO-35 (acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral) ALTIUS HEALTHCARE INC,acétate de cyprotérone 2 mg et éthinylestradiol 35 mcg comprimé oral
14354,2042487,MARVELON 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) MERCK CANADA INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA,9008751,Str - Unit,,MARVELON 21 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral) MERCK CANADA INC,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral
80270,2317192,APRI 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) TEVA CANADA LIMITED,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA,9008751,Str - Unit,,APRI 21 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral) TEVA CANADA LIMITED,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral
88154,2396491,FREYA 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) MYLAN PHARMACEUTICALS ULC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA,9008751,Str - Unit,,FREYA 21 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral) MYLAN PHARMACEUTICALS ULC,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral
89490,2410249,MIRVALA 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) APOTEX INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA,9008751,Str - Unit,,MIRVALA 21 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral) APOTEX INC,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral
90541,2420813,RECLIPSEN 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) ACTAVIS PHARMA COMPANY,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA,9008751,Str - Unit,,RECLIPSEN 21 (désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral) ACTAVIS PHARMA COMPANY,désogestrel 150 mcg et éthinylestradiol 30 mcg comprimé oral
80656,2321157,YAZ (drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet) BAYER INC,drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet,NA,9006572,Inact Comp,,YAZ (drospirénone 3 mg et éthinylestradiol 20 mcg comprimé oral avec lactose comprimé oral) BAYER INC,drospirénone 3 mg et éthinylestradiol 20 mcg comprimé oral avec lactose comprimé oral
89999,2415380,MYA (drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet) APOTEX INC,drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet,NA,9006572,Inact Comp,,MYA (drospirénone 3 mg et éthinylestradiol 20 mcg comprimé oral avec lactose comprimé oral) APOTEX INC,drospirénone 3 mg et éthinylestradiol 20 mcg comprimé oral avec lactose comprimé oral
74710,2261723,YASMIN 21 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet) BAYER INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet,NA,9006564,Str - Unit,,YASMIN 21 (drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral) BAYER INC,drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral
89544,2410788,ZAMINE 21 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet) APOTEX INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet,NA,9006564,Str - Unit,,ZAMINE 21 (drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral) APOTEX INC,drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral
87071,2385058,ZARAH 21 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet) COBALT PHARMACEUTICALS COMPANY,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet,NA,9006564,Str - Unit,,ZARAH 21 (drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral) COBALT PHARMACEUTICALS COMPANY,drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral
74711,2261731,YASMIN 28 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) BAYER INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9006565,Inact Comp,,YASMIN 28 (drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) BAYER INC,drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
89545,2410796,ZAMINE 28 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) APOTEX INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9006565,Inact Comp,,ZAMINE 28 (drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) APOTEX INC,drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
87072,2385066,ZARAH 28 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) COBALT PHARMACEUTICALS COMPANY,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA,9006565,Inact Comp,,ZARAH 28 (drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral) COBALT PHARMACEUTICALS COMPANY,drospirénone 3 mg et éthinylestradiol 30 mcg comprimé oral avec lactose comprimé oral
73815,2253186,NUVARING (ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system) MERCK CANADA INC,ethinyl estradiol 15 mcg per 24 hour and etonogestrel 120 mcg per 24 hour vaginal delivery system,NA,9006475,Str - Desc,,NUVARING (éthinylestradiol 15 mcg sur 24 heures et étonogestrel 120 mcg sur 24 heures système de diffusion vaginal) MERCK CANADA INC,éthinylestradiol 15 mcg sur 24 heures et étonogestrel 120 mcg sur 24 heures système de diffusion vaginal
83160,2346176,SEASONIQUE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 10 mcg oral tablet) TEVA WOMENS HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 10 mcg oral tablet,Comb,9013289,MAI Comp,,SEASONIQUE (éthinylestradiol 30 mcg et lévonorgestrel 150 mcg comprimé oral avec éthinylestradiol 10 mcg comprimé oral) TEVA WOMENS HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,éthinylestradiol 30 mcg et lévonorgestrel 150 mcg comprimé oral avec éthinylestradiol 10 mcg comprimé oral
78129,2295946,PORTIA 21 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet) TEVA CANADA LIMITED,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet,NA,9009383,Str - Unit,,PORTIA 21 (éthinylestradiol 30 mcg et lévonorgestrel 150 mcg comprimé oral) TEVA CANADA LIMITED,éthinylestradiol 30 mcg et lévonorgestrel 150 mcg comprimé oral
78130,2295954,PORTIA 28 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) TEVA CANADA LIMITED,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet,NA,9009385,Inact Comp,,PORTIA 28 (éthinylestradiol 30 mcg et lévonorgestrel 150 mcg comprimé oral avec lactose comprimé oral) TEVA CANADA LIMITED,éthinylestradiol 30 mcg et lévonorgestrel 150 mcg comprimé oral avec lactose comprimé oral
