"","tm_code","tm_formal_name"
"1",8000110,"acebutolol"
"2",8000065,"acetaminophen and codeine"
"3",8000059,"acetaminophen and oxycodone"
"4",8000349,"acetaminophen and tramadol"
"5",8000774,"acetylsalicylic acid and oxycodone"
"6",8000095,"acyclovir"
"7",8000312,"alendronic acid"
"8",8000413,"alendronic acid and vitamin D3 (cholecalciferol)"
"9",8000313,"alfuzosin"
"10",8000046,"allopurinol"
"11",8000088,"alprazolam"
"12",8000269,"amiodarone"
"13",8000024,"amitriptyline"
"14",8000153,"amlodipine"
"15",8000154,"amoxicillin and clavulanic acid"
"16",8000389,"aripiprazole"
"17",8000121,"atenolol"
"18",8000347,"atomoxetine"
"19",8000235,"atorvastatin"
"20",8000066,"baclofen"
"21",8000208,"beclomethasone"
"22",8000788,"belladonna and ergotamine and phenobarbital"
"23",8000785,"belladonna and opium"
"24",8000067,"benztropine"
"25",8000302,"betahistine"
"26",8000053,"betamethasone (base)"
"27",8000794,"betamethasone acetate and betamethasone (base)"
"28",8000791,"betamethasone dipropionate"
"29",8000315,"bimatoprost"
"30",8000325,"bisoprolol"
"31",8000090,"bromazepam"
"32",8000780,"brompheniramine and guaifenesin and hydrocodone and phenylephrine"
"33",8000134,"budesonide"
"34",8000775,"buprenorphine"
"35",8000372,"buprenorphine and naloxone"
"36",8000257,"bupropion"
"37",8000776,"butorphanol"
"38",8000075,"calcitriol"
"39",8000266,"candesartan"
"40",8000300,"candesartan and hydrochlorothiazide"
"41",8000032,"carbamazepine"
"42",8000054,"carbidopa and levodopa"
"43",8000329,"carvedilol"
"44",8000210,"cefprozil"
"45",8000271,"celecoxib"
"46",8000040,"cephalexin"
"47",8000237,"cetirizine"
"48",8000367,"ciclesonide"
"49",8000230,"ciclopirox"
"50",8000338,"ciprofloxacin and dexamethasone (base)"
"51",8000267,"citalopram"
"52",8000160,"clarithromycin"
"53",8000238,"clobazam"
"54",8000161,"clobetasol"
"55",8000061,"clonazepam"
"56",8000135,"clonidine"
"57",8000263,"clopidogrel"
"58",8000773,"clotrimazole"
"59",8000147,"clozapine"
"60",8000069,"codeine"
"61",8000047,"colchicine"
"62",8000021,"conjugated estrogens"
"63",8000196,"cyclobenzaprine"
"64",8000378,"dabigatran"
"65",8000385,"desvenlafaxine"
"66",8000394,"dexlansoprazole"
"67",8000162,"dextroamphetamine"
"68",8000048,"diazepam"
"69",8000180,"diclofenac and misoprostol"
"70",8000198,"digoxin"
"71",8000122,"diltiazem"
"72",8000181,"domperidone"
"73",8000246,"donepezil"
"74",8000272,"dorzolamide and timolol"
"75",8000163,"doxazosin"
"76",8000117,"doxycycline"
"77",8000375,"duloxetine"
"78",8000330,"dutasteride"
"79",8000037,"erythromycin"
"80",8000346,"escitalopram"
"81",8000303,"esomeprazole"
"82",8000398,"esomeprazole and naproxen"
"83",8000326,"ezetimibe"
"84",8000165,"felodipine"
"85",8000225,"fenofibrate"
"86",8000166,"finasteride"
"87",8000128,"fluoxetine"
"88",8000091,"flurazepam"
"89",8000173,"fluticasone"
"90",8000279,"fluticasone and salmeterol"
"91",8000332,"fosinopril"
"92",8000200,"gabapentin"
"93",8000396,"galantamine"
"94",8000139,"gliclazide"
"95",8000115,"glyburide"
"96",8000084,"haloperidol"
"97",8000031,"hydrochlorothiazide"
"98",8000284,"hydrochlorothiazide and irbesartan"
"99",8000201,"hydrochlorothiazide and lisinopril"
"100",8000229,"hydrochlorothiazide and losartan"
"101",8000382,"hydrochlorothiazide and olmesartan"
"102",8000262,"hydrochlorothiazide and quinapril"
"103",8000368,"hydrochlorothiazide and ramipril"
"104",8000092,"hydrochlorothiazide and triamterene"
"105",8000286,"hydrochlorothiazide and valsartan"
"106",8000781,"hydrocodone and phenylephrine"
"107",8000778,"hydrocodone and phenyltoloxamine"
"108",8000008,"hydrocortisone"
"109",8000012,"hydroxychloroquine"
